source	target	interaction	genes	size	similarity
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	Translation	overlap	Eif3d,Eif4a2,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Eif4a1,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Eif4e,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif4ebp1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif4b,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif4h,Eif2s3x,Eif3g,Pabpc1	59	0.634703196347032
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	Translation_initiation_complex_formation	overlap	Eif3d,Eif4a2,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Eif4a1,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Eif4e,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif4b,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif4h,Eif2s3x,Eif3g,Pabpc1	58	0.991525423728814
Activation_of_the_pre_replicative_complex	Activation_of_ATR_in_response_to_replication_stress	overlap	Orc4,Cdc6,Mcm3,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Rpa1,Rpa3,Mcm8,Orc3,Dbf4,Orc5,Cdc7,Orc1,Cdc45	19	0.548516439454691
Activation_of_the_pre_replicative_complex	DNA_Replication	overlap	Pole2,Orc4,Cdc6,Prim1,Mcm3,Prim2,Pola2,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Cdt1,Rpa1,Pole4,Rpa3,Mcm8,Orc3,Pole3,Dbf4,Orc5,Pole,Cdc7,Orc1,Cdc45,Pola1,Gmnn	29	0.620833333333333
Activation_of_the_pre_replicative_complex	DNA_Replication_Pre_Initiation	overlap	Pole2,Orc4,Cdc6,Prim1,Mcm3,Prim2,Pola2,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Cdt1,Rpa1,Pole4,Rpa3,Mcm8,Orc3,Pole3,Dbf4,Orc5,Pole,Cdc7,Orc1,Cdc45,Pola1,Gmnn	29	0.68125
Activation_of_the_pre_replicative_complex	G1S_Transition	overlap	Pole2,Orc4,Cdc6,Prim1,Mcm3,Prim2,Pola2,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Cdt1,Rpa1,Pole4,Rpa3,Mcm8,Orc3,Pole3,Dbf4,Orc5,Pole,Cdc7,Orc1,Cdc45,Pola1,Gmnn	29	0.768518518518519
Activation_of_the_pre_replicative_complex	Synthesis_of_DNA	overlap	Pole2,Orc4,Cdc6,Prim1,Mcm3,Prim2,Pola2,Mcm4,Mcm2,Mcm6,Cdk2,Orc2,Mcm7,Cdt1,Rpa1,Pole4,Rpa3,Mcm8,Orc3,Pole3,Orc5,Pole,Orc1,Pola1	24	0.578176665092111
Activation_of_the_pre_replicative_complex	Mitotic_G1_G1S_phases	overlap	Pole2,Orc4,Cdc6,Prim1,Mcm3,Prim2,Pola2,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Cdt1,Rpa1,Pole4,Rpa3,Mcm8,Orc3,Pole3,Dbf4,Orc5,Pole,Cdc7,Orc1,Cdc45,Pola1,Gmnn	29	0.688311688311688
Activation_of_the_pre_replicative_complex	S_Phase	overlap	Pole2,Orc4,Cdc6,Prim1,Mcm3,Prim2,Pola2,Mcm4,Mcm2,Mcm6,Cdk2,Orc2,Mcm7,Cdt1,Rpa1,Pole4,Rpa3,Mcm8,Orc3,Pole3,Orc5,Pole,Orc1,Pola1	24	0.544227886056971
Amino_acid_and_derivative_metabolism	Branched_chain_amino_acid_catabolism	overlap	Dld,Bckdk,Dbt,Mccc2,Ppm1k,Bcat2,Bcat1,Shmt1,Bckdhb,Hibch,Acat1,Hibadh,Mccc1,Aldh6a1,Ivd,Aldh9a1,Bbox1,Auh	18	0.547368421052632
Amino_acid_and_derivative_metabolism	Glyoxylate_metabolism_and_glycine_degradation	overlap	Dld,Pdha1,Pdha2,Dbt,Ogdh,Pdhx,Dlat,Amt,Lipt1,Gldc,Lias,Lipt2,Pdhb,Agxt,Got2,Dao,Agxt2,Bckdhb,Grhpr,Dlst,Hoga1,Hao1,Gcsh,Dhtkd1,Ndufab1	25	0.565789473684211
Amino_acid_and_derivative_metabolism	Lysine_catabolism	overlap	Dld,Ogdh,Crym,Hykk,Slc25a21,Phykpl,Aass,Dlst,Aldh7a1,Aadat,Pipox	11	0.528947368421053
Assembly_of_the_pre_replicative_complex	DNA_Replication	overlap	Psmb1,Psmd4,E2f3,Psmd14,Psmb10,Psmb5,Psma3,Gmnn,Psmc3,Orc4,Cdc6,Ubb,Ubc,Psmd3,Mcm3,Psmd7,Psmb8,Psmb9,Mcm4,Psma2,Psmc4,E2f2,Psme3,Psmc1,Psmc5,Psmc6,Rps27a,Uba52,Psmb7,Mcm2,Mcm6,Psme1,Psme2,Psme2b,Psmb4,Psmd1,Psme4,Psmb6,Orc2,E2f1,Mcm7,Psmd11,Psmb11,Psmf1,Psmd5,Cdt1,Psmd2,Psmd6,Psmd9,Psma8,Mcm8,Psmd8,Psmd12,Orc3,Psma6,Psma4,Psmb3,Psmb2,Psma1,Orc5,Psmd13,Orc1,Psma7,Psma5,Psmd10	65	0.770833333333333
Assembly_of_the_pre_replicative_complex	DNA_Replication_Pre_Initiation	overlap	Psmb1,Psmd4,E2f3,Psmd14,Psmb10,Psmb5,Psma3,Gmnn,Psmc3,Orc4,Cdc6,Ubb,Ubc,Psmd3,Mcm3,Psmd7,Psmb8,Psmb9,Mcm4,Psma2,Psmc4,E2f2,Psme3,Psmc1,Psmc5,Psmc6,Rps27a,Uba52,Psmb7,Mcm2,Mcm6,Psme1,Psme2,Psme2b,Psmb4,Psmd1,Psme4,Psmb6,Orc2,E2f1,Mcm7,Psmd11,Psmb11,Psmf1,Psmd5,Cdt1,Psmd2,Psmd6,Psmd9,Psma8,Mcm8,Psmd8,Psmd12,Orc3,Psma6,Psma4,Psmb3,Psmb2,Psma1,Orc5,Psmd13,Orc1,Psma7,Psma5,Psmd10	65	0.90625
Assembly_of_the_pre_replicative_complex	Autodegradation_of_Cdh1_by_Cdh1:APCC	overlap	Psmb1,Psmd4,Psmd14,Psmb10,Psmb5,Psma3,Psmc3,Ubb,Ubc,Psmd3,Psmd7,Psmb8,Psmb9,Psma2,Psmc4,Psme3,Psmc1,Psmc5,Psmc6,Rps27a,Uba52,Psmb7,Psme1,Psme2,Psme2b,Psmb4,Psmd1,Psmb6,Psmd11,Psmf1,Psmd5,Psmd2,Psmd6,Psmd9,Psmd8,Psmd12,Psma6,Psma4,Psmb3,Psmb2,Psma1,Psmd13,Psma7,Psma5,Psmd10	45	0.637293469708891
Assembly_of_the_pre_replicative_complex	CDT1_association_with_the_CDC6:ORC:origin_complex	overlap	Psmb1,Psmd4,Psmd14,Psmb10,Psmb5,Psma3,Gmnn,Psmc3,Orc4,Cdc6,Ubb,Ubc,Psmd3,Psmd7,Psmb8,Psmb9,Psma2,Psmc4,Psme3,Psmc1,Psmc5,Psmc6,Rps27a,Uba52,Psmb7,Psme1,Psme2,Psme2b,Psmb4,Psmd1,Psme4,Psmb6,Orc2,Psmd11,Psmb11,Psmf1,Psmd5,Cdt1,Psmd2,Psmd6,Psmd9,Psma8,Mcm8,Psmd8,Psmd12,Orc3,Psma6,Psma4,Psmb3,Psmb2,Psma1,Orc5,Psmd13,Orc1,Psma7,Psma5,Psmd10	57	0.938461538461538
Assembly_of_the_pre_replicative_complex	UCH_proteinases	overlap	Psmb1,Psmd4,Psmd14,Psmb10,Psmb5,Psma3,Psmc3,Ubb,Ubc,Psmd3,Psmd7,Psmb8,Psmb9,Psma2,Psmc4,Psme3,Psmc1,Psmc5,Psmc6,Rps27a,Uba52,Psmb7,Psme1,Psme2,Psme2b,Psmb4,Psmd1,Psme4,Psmb6,Psmd11,Psmb11,Psmf1,Psmd5,Psmd2,Psmd6,Psmd9,Psma8,Psmd8,Psmd12,Psma6,Psma4,Psmb3,Psmb2,Psma1,Psmd13,Psma7,Psma5,Psmd10	48	0.583516483516484
Biological_oxidations	Glucuronidation	overlap	Slc35d1,Ugt1a5,Ugdh,Ugt1a1,Ugp2,Ugt1a10,Ugt1a6b,Ugt1a2,Ugt3a1,Ugt1a9,Ugt1a6a,Ugt2a2,Ugt1a7c,Ugt2a1,Ugt2b35,Ugt2a3,Ugt3a2,Ugt2b34,Ugt2b1	19	0.551075268817204
Biological_oxidations	Glutathione_conjugation	overlap	Gclm,Gsto1,Gss,Gclc,Oplah,Chac1,Chac2,Cndp2,Ggct,Esd,Mgst2,Mgst1,Mgst3,Gsta1,Gstm2,Gstp1,Gsta3,Gstm5,Gstt2,Gstt1,Gstm7,Gsto2,Gstm4,Hpgds,Gstz1	25	0.567204301075269
Biological_oxidations	Phase_II_Conjugation_of_compounds	overlap	Mtr,Gclm,Tpst1,Tpst2,N6amt1,Mat2b,Slc35d1,Ugt1a5,Glyatl3,Gsto1,Sult2b1,Tpmt,Nnmt,Ugdh,Papss2,Comt,Sult6b1,Gss,Slc26a1,Sult4a1,Gclc,Mat2a,Papss1,Slc26a2,Ugt1a1,Acsm4,Acsm5,Oplah,Acsm2,Chac1,Acsm1,As3mt,Mat1a,Glyat,Ugp2,Chac2,Cndp2,Ggct,Sult1c2,Trmt112,Sult1b1,Esd,Mtrr,Podxl2,Gm4737,Ahcy,Bpnt1,Ugt1a10,Ugt1a6b,Ugt1a2,Ugt3a1,Ugt1a9,Ugt1a6a,Ugt2a2,Ugt1a7c,Ugt2a1,Ugt2b35,Ugt2a3,Ugt3a2,Ugt2b34,Ugt2b1,Mgst2,Mgst1,Mgst3,Slc35b2,Slc35b3,Gsta1,Gstm2,Gstp1,Gsta3,Gstm5,Gstt2,Gstt1,Gstm7,Gsto2,Gstm4,Hpgds,Gstz1	78	0.709677419354839
Biological_oxidations	Aflatoxin_activation_and_detoxification	overlap	Cyp3a57,Cyp3a59,Cyp3a25,Cyp3a11,Cyp3a13,Cyp3a16,Cyp3a44,Cyp3a41a,Cyp3a41b,Acy3,Acy1	11	0.529569892473118
Biological_oxidations	Cytochrome_P450_arranged_by_substrate_type	overlap	Rxra,Ahr,Arnt,Ncoa1,Nr1h4,Arnt2,Fdxr,Cyp11a1,Cyp4a29,Cyp4a30b,Cyp4a32,Cyp4a12b,Cyp26c1,Cyp2a22,Cyp3a57,Cyp3a59,Cyp2b23,Cyp2w1,Cyp4a31,Cyp4f40,Cyp3a25,Cyp4a14,Cyp2j6,Cyp26a1,Cyp4a10,Cyp1a1,Cyp2a4,Cyp2f2,Cyp2a12,Cyp2e1,Cyp2c65,Ahrr,Cyp2c66,Ncoa2,Cyp3a11,Cyp4b1,Cyp3a13,Cyp3a16,Cyp26b1,Cyp4f39,Cyp4a12a,Cyp4f15,Cyp2u1,Cyp2c55,Cyp2s1,Cyp4f14,Cyp3a44,Cyp39a1,Cyp2d22,Cyp3a41a,Cyp3a41b,Cyp46a1,Fdx1,Fdx2	54	0.645161290322581
Biological_oxidations	Phase_I_Functionalization_of_compounds	overlap	Hsp90ab1,Rxra,Ahr,Arnt,Ncoa1,Nr1h4,Arnt2,Fdxr,Marc2,Marc1,Cyb5r3,Cyp11a1,Ptges3,Cyp4a29,Cyp4a30b,Adh6b,Cyp4a32,Cyp4a12b,Cyp26c1,Cyp2a22,Cyp3a57,Cyp3a59,Cyp2b23,Cyp2w1,Ces2h,Cyp4a31,Cyp4f40,Cyp3a25,Ptgis,Cyp27b1,Cyp4a14,Cyp2j6,Cyp26a1,Cyp4a10,Cyp8b1,Cyp1a1,Adh1,Pomc,Cyp21a1,Cyp2a4,Cyp11b2,Ptgs1,Aldh1a1,Adh5,Cyp19a1,Cyp2f2,Aldh2,Aldh3a1,Fmo1,Cyp2a12,Fmo3,Cyp2e1,Cyp2c65,Cyp11b1,Ahrr,Cyp2c66,Cyp7b1,Ncoa2,Cyp1b1,Adh7,Cyp3a11,Cyp4b1,Cyp3a13,Cyp3a16,Cyp7a1,Cyp2r1,Cyp26b1,Cyp4f39,Cyp51,Fmo2,Cbr3,Ces1d,Cyp4a12a,Cyp4f15,Cyb5b,Cyp2u1,Aldh1b1,Cyp2c55,Cyp4v3,Cyp2s1,Cyp4f14,Cyp3a44,Cyp39a1,Cyp2d22,Cyp3a41a,Cyp3a41b,Adh4,Cyp46a1,Aip,Fdx1,Fdx2,Ces3a,Maoa,Maob,Bphl,Cmbl,Aadac,Ephx1,Acss1,Tbxas1,Acss2	101	0.771505376344086
Branched_chain_amino_acid_catabolism	Amino_acid_and_derivative_metabolism	overlap	Dld,Bckdk,Dbt,Mccc2,Ppm1k,Bcat2,Bcat1,Shmt1,Bckdhb,Hibch,Hibadh,Mccc1,Aldh6a1,Ivd,Aldh9a1,Bbox1,Auh,Acat1	18	0.547368421052632
Cap_dependent_Translation_Initiation	Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	overlap	Eif3d,Eif4a2,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Eif4a1,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Eif4e,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif4ebp1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif4b,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif4h,Eif2s3x,Eif3g,Pabpc1	59	0.75
Cap_dependent_Translation_Initiation	Eukaryotic_Translation_Initiation	overlap	Eif2b3,Rpl3l,Rpl35a,Eif3d,Eif4a2,Rpl27a,Rps16,Rpl7,Rpsa,Rplp0,Rpl13a,Eif3a,Rps2,Rpl3,Rpl12,Rpl18,Rpl28,Rpl6,Rpl29,Gm8210,Rplp1,Rpl5,Rpl13,Rpl9,Eif5,Eif3e,Eif4a1,Rps20,Rpl26,Rpl27,Loc108167922,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rpl18a,Rpl23a,Rps6,Loc105244208,Rpl23,Loc100044627,Loc100862455,Rps15,Rps24,Rps25,Rps26,Rps28,Rpl30,Rpl39,Rpl31,Rps3,Rpl32,Rpl8,Rps27a,Uba52,Eif4e,Rps17,Rps10,Rpl22,Rpl36a,Rpl36al,Rpl19,Rpl10l,Rps3a1,Rps5,Rplp2,Eif3j1,Eif4ebp1,Eif2b4,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Rpl10,Rpl35,Eif2s1,Rps27l,Eif4b,Eif1ax,Rpl24,Eif2b5,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Eif2b1,Eif2b2,Rpl39l,Rps21,Rpl14,Rpl11,Rpl15,Rps19,Rpl34,Rpl34-Ps1,Gm4705,Rpl22l1,Rpl37,Rpl37rt,Rpl4,Eif3k,Eif3f,Rpl38,Eif3i,Eif4h,Eif2s3x,Eif3g,Eif5b,Pabpc1	118	1
Cap_dependent_Translation_Initiation	Formation_of_a_pool_of_free_40S_subunits	overlap	Rpl3l,Rpl35a,Eif3d,Rpl27a,Rps16,Rpl7,Rpsa,Rplp0,Rpl13a,Eif3a,Rps2,Rpl3,Rpl12,Rpl18,Rpl28,Rpl6,Rpl29,Gm8210,Rplp1,Rpl5,Rpl13,Rpl9,Eif3e,Rps20,Rpl26,Rpl27,Loc108167922,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rpl18a,Rpl23a,Rps6,Loc105244208,Rpl23,Loc100044627,Loc100862455,Rps15,Rps24,Rps25,Rps26,Rps28,Rpl30,Rpl39,Rpl31,Rps3,Rpl32,Rpl8,Rps27a,Uba52,Rps17,Rps10,Rpl22,Rpl36a,Rpl36al,Rpl19,Rpl10l,Rps3a1,Rps5,Rplp2,Eif3j1,Eif3j2,Rps9,Rps27,Rps27rt,Rpl10,Rpl35,Rps27l,Eif1ax,Rpl24,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Rpl39l,Rps21,Rpl14,Rpl11,Rpl15,Rps19,Rpl34,Rpl34-Ps1,Gm4705,Rpl22l1,Rpl37,Rpl37rt,Rpl4,Eif3k,Eif3f,Rpl38,Eif3i,Eif3g	100	0.923728813559322
Cap_dependent_Translation_Initiation	Formation_of_the_ternary_complex_and_subsequently_the_43S_complex	overlap	Eif3d,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif3j2,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif2s3x,Eif3g	51	0.716101694915254
Cap_dependent_Translation_Initiation	GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit	overlap	Rpl3l,Rpl35a,Eif3d,Eif4a2,Rpl27a,Rps16,Rpl7,Rpsa,Rplp0,Rpl13a,Eif3a,Rps2,Rpl3,Rpl12,Rpl18,Rpl28,Rpl6,Rpl29,Gm8210,Rplp1,Rpl5,Rpl13,Rpl9,Eif5,Eif3e,Eif4a1,Rps20,Rpl26,Rpl27,Loc108167922,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rpl18a,Rpl23a,Rps6,Loc105244208,Rpl23,Loc100044627,Loc100862455,Rps15,Rps24,Rps25,Rps26,Rps28,Rpl30,Rpl39,Rpl31,Rps3,Rpl32,Rpl8,Rps27a,Uba52,Eif4e,Rps17,Rps10,Rpl22,Rpl36a,Rpl36al,Rpl19,Rpl10l,Rps3a1,Rps5,Rplp2,Eif3j1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Rpl10,Rpl35,Eif2s1,Rps27l,Eif4b,Eif1ax,Rpl24,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rpl39l,Rps21,Rpl14,Rpl11,Rpl15,Rps19,Rpl34,Rpl34-Ps1,Gm4705,Rpl22l1,Rpl37,Rpl37rt,Rpl4,Eif3k,Eif3f,Rpl38,Eif3i,Eif4h,Eif2s3x,Eif3g,Eif5b	111	0.970338983050848
