GeneID_mouse	GeneSymbol_mouse	GeneID_human	GeneSymbol_human
ENSMUSG00000040061	Plcb2	ENSG00000137841	PLCB2
ENSMUSG00000055720	Ubl7	ENSG00000138629	UBL7
ENSMUSG00000034165	Ccnd3	ENSG00000112576	CCND3
ENSMUSG00000002748	Baz1b	ENSG00000009954	BAZ1B
ENSMUSG00000026669	Mcm10	ENSG00000065328	MCM10
ENSMUSG00000038024	Dennd4c	ENSG00000137145	DENND4C
ENSMUSG00000035168	Tanc1	ENSG00000115183	TANC1
ENSMUSG00000042842	Serpinb6b	ENSG00000124570	SERPINB6
ENSMUSG00000002222	Rmnd5a	ENSG00000153561	RMND5A
ENSMUSG00000017631	Abr	ENSG00000159842	ABR
ENSMUSG00000027078	Ube2l6	ENSG00000156587	UBE2L6
ENSMUSG00000029647	Pan3	ENSG00000152520	PAN3
ENSMUSG00000049580	Tsku	ENSG00000182704	TSKU
ENSMUSG00000046675	Tmem251	ENSG00000153485	TMEM251
ENSMUSG00000029178	Klf3	ENSG00000109787	KLF3
ENSMUSG00000008206	Cers4	ENSG00000090661	CERS4
ENSMUSG00000009145	Dqx1	ENSG00000144045	DQX1
ENSMUSG00000019899	Lama2	ENSG00000196569	LAMA2
ENSMUSG00000042331	Specc1	ENSG00000128487	SPECC1
ENSMUSG00000003813	Rad23a	ENSG00000179262	RAD23A
ENSMUSG00000023224	Serping1	ENSG00000149131	SERPING1
ENSMUSG00000032085	Tagln	ENSG00000149591	TAGLN
ENSMUSG00000025785	Exosc7	ENSG00000075914	EXOSC7
ENSMUSG00000021578	Ccdc127	ENSG00000164366	CCDC127
ENSMUSG00000099913	Gm28551	ENSG00000286165	
ENSMUSG00000099913	Gm28551	ENSG00000138381	ASNSD1
ENSMUSG00000026032	Ndufb3	ENSG00000119013	NDUFB3
ENSMUSG00000025856	Pdgfa	ENSG00000197461	PDGFA
ENSMUSG00000029202	Pds5a	ENSG00000121892	PDS5A
ENSMUSG00000017781	Pitpna	ENSG00000174238	PITPNA
ENSMUSG00000024712	Rfk	ENSG00000135002	RFK
ENSMUSG00000025159	Mms19	ENSG00000155229	MMS19
ENSMUSG00000039759	Thap3	ENSG00000041988	THAP3
ENSMUSG00000043716	Rpl7	ENSG00000147604	RPL7
ENSMUSG00000026390	Marco	ENSG00000019169	MARCO
ENSMUSG00000032295	Man2c1	ENSG00000140400	MAN2C1
ENSMUSG00000007041	Clic1	ENSG00000213719	CLIC1
ENSMUSG00000042185	Nfrkb	ENSG00000170322	NFRKB
ENSMUSG00000039159	Ube2h	ENSG00000186591	UBE2H
ENSMUSG00000024236	Svil	ENSG00000197321	SVIL
ENSMUSG00000000374	Trappc10	ENSG00000280433	
ENSMUSG00000000579	Dynlt1c	ENSG00000146425	DYNLT1
ENSMUSG00000098530	Gm28051	ENSG00000170270	GON7
ENSMUSG00000037236	Matr3	ENSG00000015479	MATR3
ENSMUSG00000022323	Rida	ENSG00000132541	RIDA
ENSMUSG00000006676	Usp19	ENSG00000172046	USP19
ENSMUSG00000027088	Phospho2	ENSG00000144362	PHOSPHO2
ENSMUSG00000025223	Ldb1	ENSG00000198728	LDB1
ENSMUSG00000029238	Clock	ENSG00000134852	CLOCK
ENSMUSG00000028382	Ptbp3	ENSG00000119314	PTBP3
ENSMUSG00000117694	Snhg4	ENSG00000015479	MATR3
ENSMUSG00000024999	Noc3l	ENSG00000173145	NOC3L
ENSMUSG00000091931	Gon7	ENSG00000170270	GON7
ENSMUSG00000017754	Pltp	ENSG00000100979	PLTP
ENSMUSG00000030663	1110004F10Rik	ENSG00000110696	C11orf58
ENSMUSG00000055322	Tns1	ENSG00000079308	TNS1
ENSMUSG00000074811	Hps6	ENSG00000166189	HPS6
ENSMUSG00000038141	Tmem181a	ENSG00000146433	TMEM181
ENSMUSG00000022325	Pop1	ENSG00000104356	POP1
ENSMUSG00000028032	Papss1	ENSG00000138801	PAPSS1
ENSMUSG00000026005	Rpe	ENSG00000235376	RPEL1
ENSMUSG00000024293	Esco1	ENSG00000141446	ESCO1
ENSMUSG00000017760	Ctsa	ENSG00000064601	CTSA
ENSMUSG00000094439	Gm21969	ENSG00000169991	IFFO2
ENSMUSG00000030269	Mtmr14	ENSG00000163719	MTMR14
ENSMUSG00000025261	Huwe1	ENSG00000086758	HUWE1
ENSMUSG00000054894	Dmac2l	ENSG00000125375	DMAC2L
ENSMUSG00000026988	Wdsub1	ENSG00000196151	WDSUB1
ENSMUSG00000045962	Wnk1	ENSG00000060237	WNK1
ENSMUSG00000002109	Ddb2	ENSG00000134574	DDB2
ENSMUSG00000035382	Pcsk7	ENSG00000160613	PCSK7
ENSMUSG00000058594	Fbh1	ENSG00000134452	FBH1
ENSMUSG00000026037	Orc2	ENSG00000115942	ORC2
ENSMUSG00000004677	Myo9b	ENSG00000099331	MYO9B
ENSMUSG00000035024	Ncapd3	ENSG00000151503	NCAPD3
ENSMUSG00000035885	Cox8a	ENSG00000176340	COX8A
ENSMUSG00000038990	Cables2	ENSG00000149679	CABLES2
ENSMUSG00000031988	Vps26b	ENSG00000151502	VPS26B
ENSMUSG00000002477	Snrpd1	ENSG00000167088	SNRPD1
ENSMUSG00000051910	Sox6	ENSG00000110693	SOX6
ENSMUSG00000025921	Rdh10	ENSG00000121039	RDH10
ENSMUSG00000034908	Sidt2	ENSG00000149577	SIDT2
ENSMUSG00000041025	Iffo2	ENSG00000169991	IFFO2
ENSMUSG00000028416	Bag1	ENSG00000107262	BAG1
ENSMUSG00000096458	Moap1	ENSG00000165943	MOAP1
ENSMUSG00000027341	Tmem230	ENSG00000089063	TMEM230
ENSMUSG00000092074	Dynlt1a	ENSG00000146425	DYNLT1
ENSMUSG00000023206	Il15ra	ENSG00000134470	IL15RA
ENSMUSG00000040274	Cdk6	ENSG00000105810	CDK6
ENSMUSG00000019820	Utrn	ENSG00000152818	UTRN
ENSMUSG00000041712	Ubr7	ENSG00000012963	UBR7
ENSMUSG00000041712	Ubr7	ENSG00000259066	
ENSMUSG00000039768	Dnajc11	ENSG00000007923	DNAJC11
ENSMUSG00000063077	Kif1b	ENSG00000054523	KIF1B
ENSMUSG00000083282	Ctsf	ENSG00000174080	CTSF
ENSMUSG00000025279	Dnase1l3	ENSG00000163687	DNASE1L3
ENSMUSG00000039178	Tbc1d19	ENSG00000109680	TBC1D19
ENSMUSG00000044827	Tlr1	ENSG00000174125	TLR1
ENSMUSG00000033751	Gadd45gip1	ENSG00000179271	GADD45GIP1
ENSMUSG00000031343	Gabra3	ENSG00000011677	GABRA3
ENSMUSG00000096255	Dynlt1b	ENSG00000146425	DYNLT1
ENSMUSG00000032812	Arap1	ENSG00000186635	ARAP1
ENSMUSG00000117809		ENSG00000286053	ASDURF
ENSMUSG00000025899	Alkbh8	ENSG00000137760	ALKBH8
ENSMUSG00000038135	Crygn	ENSG00000127377	CRYGN
ENSMUSG00000021428	Riok1	ENSG00000124784	RIOK1
ENSMUSG00000036501	Fam13b	ENSG00000031003	FAM13B
ENSMUSG00000038838	Vars2	ENSG00000137411	VARS2
ENSMUSG00000066442	Mthfs	ENSG00000259332	ST20-MTHFS
ENSMUSG00000066442	Mthfs	ENSG00000136371	MTHFS
ENSMUSG00000079427	Mthfsl	ENSG00000259332	ST20-MTHFS
ENSMUSG00000079427	Mthfsl	ENSG00000136371	MTHFS
ENSMUSG00000041716	Gm20604	ENSG00000170270	GON7
ENSMUSG00000026095	Asnsd1	ENSG00000286165	
ENSMUSG00000026095	Asnsd1	ENSG00000138381	ASNSD1
ENSMUSG00000033364	Usp37	ENSG00000135913	USP37
ENSMUSG00000038876	Rnf146	ENSG00000118518	RNF146
ENSMUSG00000095677	Dynlt1f	ENSG00000146425	DYNLT1
ENSMUSG00000066036	Ubr4	ENSG00000127481	UBR4
ENSMUSG00000029648	Flt1	ENSG00000102755	FLT1
ENSMUSG00000024357	Sil1	ENSG00000120725	SIL1
ENSMUSG00000024331	Dsc2	ENSG00000134755	DSC2
ENSMUSG00000040943	Tet2	ENSG00000168769	TET2
ENSMUSG00000039917	Rhbdd2	ENSG00000005486	RHBDD2
ENSMUSG00000012405	Rpl15	ENSG00000174748	RPL15
ENSMUSG00000028675	Pnrc2	ENSG00000189266	PNRC2
ENSMUSG00000046572	Zfp518b	ENSG00000178163	ZNF518B
ENSMUSG00000110136	Gm45785	ENSG00000177951	BET1L
ENSMUSG00000027508	Pag1	ENSG00000076641	PAG1
ENSMUSG00000052062	Pard3b	ENSG00000116117	PARD3B
ENSMUSG00000048756	Foxo3	ENSG00000240445	FOXO3B
ENSMUSG00000021959	Lats2	ENSG00000150457	LATS2
ENSMUSG00000053768	Chchd3	ENSG00000106554	CHCHD3
ENSMUSG00000025939	Ube2w	ENSG00000258677	
ENSMUSG00000025939	Ube2w	ENSG00000104343	UBE2W
ENSMUSG00000038886	Man2a2	ENSG00000196547	MAN2A2
ENSMUSG00000003072	Atp5d	ENSG00000099624	ATP5F1D
ENSMUSG00000027272	Ubr1	ENSG00000159459	UBR1
ENSMUSG00000071647	Eml3	ENSG00000149499	EML3
ENSMUSG00000032536	Trak1	ENSG00000182606	TRAK1
ENSMUSG00000054889	Dsp	ENSG00000096696	DSP
ENSMUSG00000027983	Cyp2u1	ENSG00000155016	CYP2U1
ENSMUSG00000068882	Ssb	ENSG00000138385	SSB
ENSMUSG00000063060	Sox7	ENSG00000171056	SOX7
ENSMUSG00000038563	Efl1	ENSG00000140598	EFL1
ENSMUSG00000051185	Fam174a	ENSG00000174132	FAM174A
ENSMUSG00000071648	Rom1	ENSG00000149489	ROM1
ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A
ENSMUSG00000021577	Sdha	ENSG00000286001	
ENSMUSG00000021577	Sdha	ENSG00000073578	SDHA
ENSMUSG00000020994	Pnn	ENSG00000100941	PNN
ENSMUSG00000050931	Sgms2	ENSG00000164023	SGMS2
ENSMUSG00000028673	Fuca1	ENSG00000179163	FUCA1
ENSMUSG00000024346	Pfdn1	ENSG00000113068	PFDN1
ENSMUSG00000027384	Ndufaf5	ENSG00000101247	NDUFAF5
ENSMUSG00000041362	Shtn1	ENSG00000187164	SHTN1
ENSMUSG00000029173	Sepsecs	ENSG00000109618	SEPSECS
ENSMUSG00000035901	Dennd5a	ENSG00000184014	DENND5A
ENSMUSG00000039737	Prkrip1	ENSG00000128563	PRKRIP1
ENSMUSG00000007603	Dus3l	ENSG00000141994	DUS3L
ENSMUSG00000099032	Tcf24	ENSG00000261787	TCF24
ENSMUSG00000039628	Hs3st6	ENSG00000162040	HS3ST6
ENSMUSG00000051339	2900026A02Rik	ENSG00000197077	KIAA1671
ENSMUSG00000038781	Stap2	ENSG00000178078	STAP2
ENSMUSG00000074918	Inafm2	ENSG00000259330	INAFM2
ENSMUSG00000020831	0610010K14Rik	ENSG00000258315	C17orf49
ENSMUSG00000027637	Rab5if	ENSG00000259399	TGIF2-RAB5IF
ENSMUSG00000035498	Cdcp1	ENSG00000163814	CDCP1
ENSMUSG00000036591	Arhgap21	ENSG00000107863	ARHGAP21
ENSMUSG00000033434	Gtpbp6	ENSG00000178605	GTPBP6
ENSMUSG00000044465	Fam160a2	ENSG00000051009	FAM160A2
ENSMUSG00000024042	Sik1	ENSG00000275993	SIK1B
ENSMUSG00000006498	Ptbp1	ENSG00000011304	PTBP1
ENSMUSG00000029186	Pi4k2b	ENSG00000038210	PI4K2B
ENSMUSG00000025277	Abhd6	ENSG00000163686	ABHD6
ENSMUSG00000029775	Klhdc10	ENSG00000128607	KLHDC10
ENSMUSG00000100838	Gm29094	ENSG00000140379	BCL2A1
ENSMUSG00000002546	Golga2	ENSG00000215252	GOLGA8B
ENSMUSG00000062515	Fabp4	ENSG00000170323	FABP4
ENSMUSG00000022521	Crebbp	ENSG00000005339	CREBBP
ENSMUSG00000027523	Gnas	ENSG00000087460	GNAS
ENSMUSG00000025423	Pias2	ENSG00000078043	PIAS2
ENSMUSG00000037278	Tmem97	ENSG00000109084	TMEM97
ENSMUSG00000045795	Whamm	ENSG00000156232	WHAMM
ENSMUSG00000033059	Pygb	ENSG00000100994	PYGB
ENSMUSG00000021775	Nr1d2	ENSG00000174738	NR1D2
ENSMUSG00000033114	Slc35d2	ENSG00000130958	SLC35D2
ENSMUSG00000033114	Slc35d2	ENSG00000285269	
ENSMUSG00000022014	Epsti1	ENSG00000133106	EPSTI1
ENSMUSG00000005881	Ergic3	ENSG00000125991	ERGIC3
ENSMUSG00000009073	Nf2	ENSG00000186575	NF2
ENSMUSG00000015126	Tsr3	ENSG00000007520	TSR3
ENSMUSG00000024525	Impa2	ENSG00000141401	IMPA2
ENSMUSG00000031803	B3gnt3	ENSG00000179913	B3GNT3
ENSMUSG00000029263	Pigg	ENSG00000174227	PIGG
ENSMUSG00000025920	Stau2	ENSG00000040341	STAU2
ENSMUSG00000039754	Alkbh4	ENSG00000160993	ALKBH4
ENSMUSG00000029179	Zcchc4	ENSG00000168228	ZCCHC4
ENSMUSG00000023072	Cep89	ENSG00000121289	CEP89
ENSMUSG00000004788	Eif2b2	ENSG00000119718	EIF2B2
ENSMUSG00000002475	Abhd3	ENSG00000158201	ABHD3
ENSMUSG00000089832	Shkbp1	ENSG00000160410	SHKBP1
ENSMUSG00000056941	Commd7	ENSG00000149600	COMMD7
ENSMUSG00000056941	Commd7	ENSG00000285382	
ENSMUSG00000038991	Txndc5	ENSG00000239264	TXNDC5
ENSMUSG00000021576	Pdcd6	ENSG00000249915	PDCD6
ENSMUSG00000025857	Dnaaf5	ENSG00000164818	DNAAF5
ENSMUSG00000029291	Rufy3	ENSG00000018189	RUFY3
ENSMUSG00000021939	Ctsb	ENSG00000164733	CTSB
ENSMUSG00000042557	Sin3a	ENSG00000169375	SIN3A
ENSMUSG00000025651	Uqcrc1	ENSG00000010256	UQCRC1
ENSMUSG00000029826	Zc3hav1	ENSG00000105939	ZC3HAV1
ENSMUSG00000051730	Mettl5	ENSG00000138382	METTL5
ENSMUSG00000025786	Zdhhc3	ENSG00000163812	ZDHHC3
ENSMUSG00000051817	Sox12	ENSG00000177732	SOX12
ENSMUSG00000000902	Smarcb1	ENSG00000099956	SMARCB1
ENSMUSG00000019861	Gopc	ENSG00000047932	GOPC
ENSMUSG00000019861	Gopc	ENSG00000282218	
ENSMUSG00000066324	Impad1	ENSG00000104331	IMPAD1
ENSMUSG00000027533	Fabp5	ENSG00000164687	FABP5
ENSMUSG00000036908	Unc93b1	ENSG00000110057	UNC93B1
ENSMUSG00000027342	Pcna	ENSG00000132646	PCNA
ENSMUSG00000040904	Gm21988	ENSG00000219200	RNASEK
ENSMUSG00000039873	Neurl2	ENSG00000124257	NEURL2
ENSMUSG00000029722	Agfg2	ENSG00000106351	AGFG2
ENSMUSG00000040681	Hmgn1	ENSG00000205581	HMGN1
ENSMUSG00000001105	Ift20	ENSG00000109083	IFT20
ENSMUSG00000010453	Kansl3	ENSG00000114982	KANSL3
ENSMUSG00000022329	Stk3	ENSG00000104375	STK3
ENSMUSG00000058486	Wdr91	ENSG00000105875	WDR91
ENSMUSG00000017386	Traf4	ENSG00000076604	TRAF4
ENSMUSG00000041974	Spidr	ENSG00000164808	SPIDR
ENSMUSG00000034673	Pbx2	ENSG00000204304	PBX2
ENSMUSG00000001911	Nfix	ENSG00000008441	NFIX
ENSMUSG00000043279	Trim56	ENSG00000169871	TRIM56
ENSMUSG00000030688	Stard10	ENSG00000214530	STARD10
ENSMUSG00000025742	Prps2	ENSG00000101911	PRPS2
ENSMUSG00000059495	Arhgef12	ENSG00000196914	ARHGEF12
ENSMUSG00000022149	C9	ENSG00000113600	C9
ENSMUSG00000052752	Traf7	ENSG00000131653	TRAF7
ENSMUSG00000021756	Il6st	ENSG00000134352	IL6ST
ENSMUSG00000030047	Arhgap25	ENSG00000163219	ARHGAP25
ENSMUSG00000046727	Cystm1	ENSG00000120306	CYSTM1
ENSMUSG00000029681	Bcl7b	ENSG00000106635	BCL7B
ENSMUSG00000028899	Taf12	ENSG00000120656	TAF12
ENSMUSG00000028229	Rmdn1	ENSG00000176623	RMDN1
ENSMUSG00000050248	Evc2	ENSG00000173040	EVC2
ENSMUSG00000024384	Iws1	ENSG00000163166	IWS1
ENSMUSG00000029650	Slc46a3	ENSG00000139508	SLC46A3
ENSMUSG00000021557	Agtpbp1	ENSG00000135049	AGTPBP1
ENSMUSG00000020456	Ogdh	ENSG00000105953	OGDH
ENSMUSG00000009092	Derl3	ENSG00000099958	DERL3
ENSMUSG00000064247	Plcxd1	ENSG00000182378	PLCXD1
ENSMUSG00000000759	Tubgcp3	ENSG00000126216	TUBGCP3
ENSMUSG00000032827	Ppp1r9a	ENSG00000158528	PPP1R9A
ENSMUSG00000027163	Commd9	ENSG00000110442	COMMD9
ENSMUSG00000029765	Plxna4	ENSG00000221866	PLXNA4
ENSMUSG00000019891	Dcbld1	ENSG00000164465	DCBLD1
ENSMUSG00000021952	Xpo4	ENSG00000132953	XPO4
ENSMUSG00000020993	Trappc6b	ENSG00000182400	TRAPPC6B
ENSMUSG00000025092	Hspa12a	ENSG00000165868	HSPA12A
ENSMUSG00000096210	H1f0	ENSG00000189060	H1F0
ENSMUSG00000041660	Bbox1	ENSG00000129151	BBOX1
ENSMUSG00000040209	Zfp704	ENSG00000164684	ZNF704
ENSMUSG00000048915	Efna5	ENSG00000184349	EFNA5
ENSMUSG00000019987	Arg1	ENSG00000118520	ARG1
ENSMUSG00000019984	Med23	ENSG00000112282	MED23
ENSMUSG00000070697	Utp3	ENSG00000132467	UTP3
ENSMUSG00000045078	Rnf216	ENSG00000011275	RNF216
ENSMUSG00000041685	Fcho2	ENSG00000157107	FCHO2
ENSMUSG00000021951	Eef1akmt1	ENSG00000150456	EEF1AKMT1
ENSMUSG00000051041	Olfml1	ENSG00000183801	OLFML1
ENSMUSG00000032298	Neil1	ENSG00000140398	NEIL1
ENSMUSG00000034601	2700049A03Rik	ENSG00000100578	KIAA0586
ENSMUSG00000026389	Steap3	ENSG00000115107	STEAP3
ENSMUSG00000036528	Ppfibp2	ENSG00000166387	PPFIBP2
ENSMUSG00000069441	Dsg1a	ENSG00000134760	DSG1
ENSMUSG00000022024	Sugt1	ENSG00000165416	SUGT1
ENSMUSG00000021704	Mtx3	ENSG00000177034	MTX3
ENSMUSG00000034774	Dsg1c	ENSG00000134760	DSG1
ENSMUSG00000020409	Slu7	ENSG00000164609	SLU7
ENSMUSG00000052397	Ezr	ENSG00000092820	EZR
ENSMUSG00000041763	Tpp2	ENSG00000134900	TPP2
ENSMUSG00000024241	Sos1	ENSG00000115904	SOS1
ENSMUSG00000032235	Ice2	ENSG00000128915	ICE2
ENSMUSG00000023156	Rpp14	ENSG00000163684	RPP14
ENSMUSG00000027371	Fahd2a	ENSG00000115042	FAHD2A
ENSMUSG00000079165	Sap25	ENSG00000205307	SAP25
ENSMUSG00000020527	Myo19	ENSG00000278259	MYO19
ENSMUSG00000029234	Tmem165	ENSG00000134851	TMEM165
ENSMUSG00000028759	Hp1bp3	ENSG00000127483	HP1BP3
ENSMUSG00000039004	Bmp6	ENSG00000153162	BMP6
ENSMUSG00000038174	Fam126b	ENSG00000155744	FAM126B
ENSMUSG00000061928	Dsg1b	ENSG00000134760	DSG1
ENSMUSG00000093445	Lrch4	ENSG00000077454	LRCH4
ENSMUSG00000038178	Slc43a2	ENSG00000167703	SLC43A2
ENSMUSG00000026096	Osgepl1	ENSG00000128694	OSGEPL1
ENSMUSG00000114942	Gm49361	ENSG00000150457	LATS2
ENSMUSG00000037236	Matr3	ENSG00000280987	
ENSMUSG00000022090	Pdlim2	ENSG00000120913	PDLIM2
ENSMUSG00000093803	Ppp2r3d	ENSG00000167393	PPP2R3B
ENSMUSG00000117694	Snhg4	ENSG00000280987	
ENSMUSG00000053226	Dand5	ENSG00000179284	DAND5
ENSMUSG00000042032	Mat2b	ENSG00000038274	MAT2B
ENSMUSG00000025194	Abcc2	ENSG00000023839	ABCC2
ENSMUSG00000032688	Malt1	ENSG00000172175	MALT1
ENSMUSG00000019874	Fabp7	ENSG00000164434	FABP7
ENSMUSG00000048677	Tpcn2	ENSG00000287725	
ENSMUSG00000048677	Tpcn2	ENSG00000162341	TPCN2
ENSMUSG00000043991	Pura	ENSG00000185129	PURA
ENSMUSG00000021180	Rps6ka5	ENSG00000100784	RPS6KA5
ENSMUSG00000037772	Mrpl23	ENSG00000214026	MRPL23
ENSMUSG00000062727	Hist1h2bk	ENSG00000274559	
ENSMUSG00000028495	Rps6	ENSG00000137154	RPS6
ENSMUSG00000035561	Aldh1b1	ENSG00000137124	ALDH1B1
ENSMUSG00000001524	Gtf2h4	ENSG00000213780	GTF2H4
ENSMUSG00000024620	Pdgfrb	ENSG00000113721	PDGFRB
ENSMUSG00000057841	Rpl32	ENSG00000144713	RPL32
ENSMUSG00000005534	Insr	ENSG00000171105	INSR
ENSMUSG00000027160	Ccdc34	ENSG00000109881	CCDC34
ENSMUSG00000020608	Smc6	ENSG00000163029	SMC6
ENSMUSG00000001707	Eef1e1	ENSG00000265818	EEF1E1-BLOC1S5
ENSMUSG00000001707	Eef1e1	ENSG00000124802	EEF1E1
ENSMUSG00000038982	Bloc1s5	ENSG00000188428	BLOC1S5
ENSMUSG00000038982	Bloc1s5	ENSG00000259040	BLOC1S5-TXNDC5
ENSMUSG00000051235	Gen1	ENSG00000178295	GEN1
ENSMUSG00000048118	Arid4a	ENSG00000032219	ARID4A
ENSMUSG00000037541	Shank2	ENSG00000162105	SHANK2
ENSMUSG00000045302	Preb	ENSG00000138073	PREB
ENSMUSG00000021958	Pinx1	ENSG00000254093	PINX1
ENSMUSG00000030493	Faap24	ENSG00000131944	FAAP24
ENSMUSG00000021374	Nup153	ENSG00000124789	NUP153
ENSMUSG00000029014	Dnajc2	ENSG00000105821	DNAJC2
ENSMUSG00000045071	E130308A19Rik	ENSG00000165185	KIAA1958
ENSMUSG00000025495	Ptdss2	ENSG00000174915	PTDSS2
ENSMUSG00000032480	Dhx30	ENSG00000132153	DHX30
ENSMUSG00000031059	Ndufb11	ENSG00000147123	NDUFB11
ENSMUSG00000042216	Sgsm1	ENSG00000167037	SGSM1
ENSMUSG00000021794	Glud1	ENSG00000182890	GLUD2
ENSMUSG00000021820	Camk2g	ENSG00000148660	CAMK2G
