Geneid	Length	hisat2_aligned/FFA-control-1_S10.bam	hisat2_aligned/FFA-control-2_S11.bam	hisat2_aligned/FFA-control-3_S12.bam	hisat2_aligned/TEADap-inh-1_S13.bam	hisat2_aligned/TEADap-inh-2_S14.bam	hisat2_aligned/TEADsf-inh-1_S16.bam	hisat2_aligned/TEADsf-inh-2_S17.bam	hisat2_aligned/TEADsf-inh-3_S18.bam
ENSG00000215720	710	0	0	0	0	0	0	0	0
ENSG00000241326	436	0	0	0	0	0	0	0	0
ENSG00000233623	680	0	0	1	0	1	0	0	2
ENSG00000162592	4238	0	0	0	0	0	0	0	0
ENSG00000204624	6120	0	1	0	0	0	0	1	2
ENSG00000142606	3870	1	0	0	0	0	0	0	0
ENSG00000225931	1297	3	1	0	0	1	2	0	1
ENSG00000171729	2238	14	7	1	14	10	9	12	17
ENSG00000279457	1397	10	4	2	8	14	7	12	12
ENSG00000229393	514	0	0	0	0	0	0	0	0
ENSG00000037637	9009	261	294	61	279	306	262	325	498
ENSG00000287586	3225	0	0	0	0	0	0	0	0
ENSG00000159423	3632	2661	2486	476	2771	2513	2232	2457	4035
ENSG00000227169	356	0	0	0	0	0	0	0	0
ENSG00000283356	135	0	0	0	0	0	0	0	0
ENSG00000011021	8173	459	444	143	333	328	315	391	664
ENSG00000142615	1519	0	0	0	0	0	0	0	0
ENSG00000215704	1449	0	0	0	0	0	0	0	0
ENSG00000157916	5689	1457	1462	205	1563	1582	1333	1651	2440
ENSG00000157881	5072	160	151	32	159	201	152	184	257
ENSG00000238290	2044	3	5	1	1	2	3	4	4
ENSG00000225387	491	0	0	0	0	0	0	0	0
ENSG00000048707	20768	870	906	300	818	801	795	849	1425
ENSG00000225196	316	0	0	0	0	0	0	0	0
ENSG00000162444	862	6	5	0	5	5	7	1	11
ENSG00000279625	1853	0	0	0	0	0	0	0	0
ENSG00000180758	5304	116	146	21	124	111	123	140	209
ENSG00000184677	9169	175	199	71	174	179	196	214	367
ENSG00000288398	2662	19	22	7	16	17	15	20	29
ENSG00000224621	544	1	4	4	1	1	3	0	2
ENSG00000285833	1051	0	0	0	0	0	0	0	0
ENSG00000131697	13167	73	46	15	45	56	60	58	107
ENSG00000284692	2316	0	0	0	0	0	0	0	0
ENSG00000284745	1654	0	0	0	0	0	0	0	0
ENSG00000280222	6473	0	0	0	1	0	1	1	0
ENSG00000285945	593	0	0	0	0	0	0	0	0
ENSG00000197921	1324	0	0	0	0	1	0	0	0
ENSG00000233755	863	0	0	0	0	0	0	0	0
ENSG00000233929	186	4	6	0	8	2	7	6	8
ENSG00000271742	256	0	0	0	0	0	0	0	0
ENSG00000234166	439	0	0	0	0	0	0	0	0
ENSG00000235282	266	0	0	0	0	0	0	0	0
ENSG00000055070	4742	1058	986	175	979	1070	977	1032	1927
ENSG00000175087	4560	131	109	29	166	149	114	127	256
ENSG00000157191	5510	418	362	45	545	531	357	435	738
ENSG00000230035	430	0	0	0	0	0	0	0	0
ENSG00000225643	483	1	0	1	0	0	0	0	0
ENSG00000284666	609	0	0	0	0	0	0	0	0
ENSG00000228943	235	0	0	0	0	0	0	0	0
ENSG00000234397	492	0	0	0	0	0	0	1	0
ENSG00000284309	941	0	0	0	0	0	0	0	1
ENSG00000162511	3228	520	298	60	336	496	472	504	829
ENSG00000158014	3483	12	11	2	21	7	11	12	27
ENSG00000204138	7317	431	391	111	370	327	329	402	630
ENSG00000233419	402	0	0	0	0	0	0	0	0
ENSG00000235263	708	103	160	21	168	161	138	160	299
ENSG00000228176	498	0	0	0	0	0	0	0	0
ENSG00000231251	93	0	0	0	0	0	0	0	0
ENSG00000142675	3960	59	45	3	42	45	37	43	74
ENSG00000197245	2799	0	1	0	0	0	1	0	0
ENSG00000130772	2017	92	89	16	137	141	104	129	211
ENSG00000215899	1342	0	0	0	2	1	0	0	1
ENSG00000271398	425	0	0	0	0	0	0	0	0
ENSG00000225011	349	0	0	0	0	0	0	0	0
ENSG00000235069	235	0	0	0	0	0	0	0	0
ENSG00000284676	1953	0	0	0	0	0	0	0	0
ENSG00000237058	373	0	0	0	0	0	0	0	0
ENSG00000233399	1519	0	0	0	0	0	0	0	0
ENSG00000090020	6195	122	101	53	73	56	84	61	96
ENSG00000157978	5371	252	231	52	252	256	203	253	407
ENSG00000130770	2225	1030	1020	69	1095	1064	1007	1180	1771
ENSG00000229044	439	2	0	0	0	0	0	2	1
ENSG00000162512	7065	294	210	70	253	260	198	280	413
ENSG00000158006	3795	464	391	87	447	473	373	443	718
ENSG00000214812	557	5	2	0	0	2	2	1	1
ENSG00000126698	2892	556	517	64	619	628	463	531	876
ENSG00000229447	437	1	2	3	3	0	0	0	2
ENSG00000229607	444	0	0	0	0	1	0	0	0
ENSG00000130766	3462	536	457	115	563	622	532	575	989
ENSG00000168528	3452	1858	1623	348	2455	2687	2107	2566	4262
ENSG00000196581	12528	0	0	0	1	0	0	0	1
ENSG00000169403	4208	36	26	7	20	28	36	39	43
ENSG00000084628	3320	1	0	0	0	0	1	1	0
ENSG00000060688	3887	123	133	22	115	137	106	129	205
ENSG00000171612	3865	1830	1873	268	1869	1698	1524	1669	2809
ENSG00000270927	493	0	0	0	0	0	0	0	0
ENSG00000188910	2362	20	27	2	28	21	16	27	31
ENSG00000230523	2148	0	0	0	0	0	0	0	0
ENSG00000116138	8563	176	183	26	173	171	169	160	256
ENSG00000158161	6424	95	73	31	104	87	95	98	176
ENSG00000142684	732	136	130	15	181	133	125	149	242
ENSG00000121769	1398	23	14	2	35	39	27	39	55
ENSG00000142627	4141	345	436	93	248	249	224	215	384
ENSG00000284668	1835	0	0	0	0	0	0	0	0
ENSG00000233234	607	0	0	0	0	0	0	0	0
ENSG00000142632	3788	23	15	4	23	20	13	16	44
ENSG00000234593	2858	0	0	0	0	0	0	0	0
ENSG00000270605	1945	2	3	0	0	3	1	0	2
ENSG00000189337	13860	2	1	1	1	2	4	1	2
ENSG00000235084	447	7	13	3	12	13	11	10	21
ENSG00000235143	1747	0	0	0	0	0	0	0	0
ENSG00000225478	223	0	0	0	0	0	0	0	0
ENSG00000028137	3778	221	188	57	264	283	259	340	455
ENSG00000204464	559	0	0	0	0	0	0	0	0
ENSG00000233372	551	0	0	0	0	0	0	0	0
ENSG00000283259	1565	0	0	0	0	0	0	0	0
ENSG00000284543	9848	2	1	0	0	1	1	1	0
ENSG00000130939	9237	454	459	111	377	446	448	476	760
ENSG00000175147	11973	0	0	0	4	0	1	0	2
ENSG00000127472	3342	2	0	0	1	0	0	4	3
ENSG00000060656	6682	529	492	110	378	459	373	571	899
ENSG00000163867	9568	107	73	14	71	81	85	106	136
ENSG00000232768	163	0	0	0	0	0	0	0	0
ENSG00000230214	523	0	0	0	0	0	0	0	0
ENSG00000189280	1355	0	0	0	0	0	0	0	0
ENSG00000134698	7423	398	358	101	395	390	368	430	632
ENSG00000134690	2406	5	2	1	10	3	4	7	5
ENSG00000272420	568	0	1	1	0	2	0	0	1
ENSG00000132881	1574	12	14	2	22	11	13	15	36
ENSG00000273274	12831	1	0	0	0	0	0	0	0
ENSG00000272510	346	4	5	2	1	5	2	5	3
ENSG00000236648	1328	0	0	0	0	0	0	0	0
ENSG00000232273	532	2	0	0	1	1	0	3	1
ENSG00000009709	6473	0	0	0	0	0	0	0	0
ENSG00000287396	663	0	0	0	0	0	0	0	0
ENSG00000223589	340	0	0	0	0	0	0	0	0
ENSG00000158008	4542	0	0	0	1	1	0	0	0
ENSG00000130940	11336	161	181	46	142	169	158	155	295
ENSG00000116771	3095	788	670	121	707	682	566	626	1025
ENSG00000237301	2845	0	0	0	0	0	0	0	0
ENSG00000163879	4456	128	116	16	129	122	97	123	211
ENSG00000227527	661	3	0	1	1	0	1	1	3
ENSG00000116954	5116	290	274	48	280	288	247	285	483
ENSG00000228589	681	11	16	0	7	21	6	10	24
ENSG00000163873	10497	0	0	0	0	0	0	0	0
ENSG00000117215	2681	0	0	0	0	0	0	0	0
ENSG00000196449	1848	281	289	53	304	312	247	255	490
ENSG00000230163	720	0	0	0	0	0	0	1	1
ENSG00000227538	1133	0	0	0	0	0	0	0	0
ENSG00000236500	225	0	0	0	0	0	0	0	0
ENSG00000044012	604	82	90	10	81	98	80	100	157
ENSG00000179051	4079	266	286	60	204	181	194	227	371
ENSG00000215895	1960	17	18	0	14	13	13	16	22
ENSG00000284650	1039	0	0	0	0	0	0	0	0
ENSG00000237329	507	0	0	0	0	0	0	0	0
ENSG00000236948	1095	0	0	0	0	0	0	0	0
ENSG00000126067	4528	1151	1018	175	1318	1219	1002	1093	1838
ENSG00000274944	3251	0	0	0	0	0	0	0	0
ENSG00000132906	5269	53	54	9	70	68	38	57	86
ENSG00000197312	12178	604	627	169	460	404	502	484	855
ENSG00000284748	1326	0	0	0	0	0	0	0	0
ENSG00000272078	7923	1	0	0	0	1	0	2	0
ENSG00000173660	1341	671	624	57	816	806	578	710	1162
ENSG00000224592	684	0	0	0	0	1	0	1	0
ENSG00000233728	700	0	0	1	0	0	0	0	0
ENSG00000230451	145	0	0	0	0	0	0	0	0
ENSG00000231606	1549	0	0	0	0	0	0	0	0
ENSG00000215900	252	0	0	0	0	0	0	0	0
ENSG00000284632	1240	0	0	0	0	0	0	0	1
ENSG00000241014	1887	0	2	0	1	0	0	1	0
ENSG00000054118	4720	1604	1383	338	1498	1524	1321	1366	2470
ENSG00000254553	3447	0	0	0	0	0	0	0	0
ENSG00000284653	2013	0	0	0	0	0	0	0	0
ENSG00000237749	253	0	0	0	1	0	0	0	2
ENSG00000276747	2396	0	0	0	0	0	0	0	0
ENSG00000284705	2694	0	0	0	0	0	0	0	0
ENSG00000228776	454	0	0	0	0	0	0	0	0
ENSG00000159339	2971	0	0	0	0	0	0	0	0
ENSG00000197982	2231	387	343	48	407	407	334	349	650
ENSG00000261781	2471	0	0	0	0	0	0	0	0
ENSG00000183317	8152	36	23	9	32	45	39	35	71
ENSG00000183386	2004	28	37	6	17	17	19	22	46
ENSG00000284743	674	1	0	0	3	1	2	0	2
ENSG00000158315	2826	2	1	0	5	0	0	3	3
ENSG00000204084	8930	164	129	35	143	126	122	140	219
ENSG00000186973	843	0	0	0	0	0	0	0	0
ENSG00000146463	7905	267	243	68	295	261	241	231	422
ENSG00000183520	3381	193	179	21	224	198	188	171	322
ENSG00000271741	3099	0	0	0	0	0	0	0	0
ENSG00000214141	1892	0	0	0	0	0	0	0	0
ENSG00000142686	3049	85	92	15	103	122	80	109	174
ENSG00000224751	1312	1	1	0	1	1	0	0	1
ENSG00000117148	1844	0	0	0	0	2	0	0	1
ENSG00000230585	811	0	0	0	0	0	0	0	0
ENSG00000117000	6232	327	337	99	296	301	297	255	488
ENSG00000284989	4037	0	0	0	0	0	0	0	0
ENSG00000231630	429	0	0	0	0	0	0	0	0
ENSG00000092853	9591	2	5	0	6	4	0	4	7
ENSG00000255811	560	0	0	0	0	0	0	1	1
ENSG00000134697	5747	523	514	85	573	524	426	477	777
ENSG00000187513	1716	2	0	0	1	0	0	0	0
ENSG00000238145	1192	0	0	0	0	0	0	0	0
ENSG00000225142	436	0	0	0	0	0	0	0	0
ENSG00000230138	933	0	0	0	0	0	0	0	0
ENSG00000223390	762	0	0	0	1	1	2	0	1
ENSG00000284720	1521	0	0	0	0	0	0	0	0
ENSG00000225671	595	0	0	0	0	0	0	0	0
ENSG00000116151	11337	22	22	4	19	19	12	22	39
ENSG00000226147	1301	1	2	1	0	0	2	0	3
ENSG00000006555	6111	76	95	20	110	113	80	125	172
ENSG00000236111	681	1	1	0	0	2	0	0	0
ENSG00000066056	6705	9	6	1	0	2	3	4	8
ENSG00000214114	2773	59	57	10	75	70	39	71	145
ENSG00000116544	4042	1	0	0	3	0	0	2	2
ENSG00000231900	1309	0	0	0	0	0	0	0	0
ENSG00000236723	1227	2	5	0	2	5	8	1	8
ENSG00000232467	601	0	0	0	0	1	0	1	0
ENSG00000117016	7259	42	35	10	41	48	31	38	75
ENSG00000121310	11572	2373	2245	411	1998	1922	2113	2373	3711
ENSG00000169213	12780	1562	1454	442	1793	1780	1496	1672	2914
ENSG00000163866	10337	486	481	65	625	567	427	551	835
ENSG00000225779	370	0	0	0	0	0	0	0	1
ENSG00000284601	1733	0	0	0	0	0	0	0	0
ENSG00000237130	370	0	0	0	0	0	0	0	0
ENSG00000143001	1256	8	5	0	13	16	4	13	20
ENSG00000227416	429	0	0	0	0	0	0	0	0
ENSG00000232335	539	0	0	0	0	0	0	0	0
ENSG00000260971	7878	3	0	0	2	2	1	0	3
ENSG00000259832	196	0	0	0	0	0	0	0	0
ENSG00000284696	3511	0	0	0	0	0	0	0	0
ENSG00000238242	1259	0	0	0	0	0	0	0	0
ENSG00000285839	1986	0	0	0	0	0	0	2	0
ENSG00000237290	2573	0	0	0	0	0	0	0	0
ENSG00000232762	752	0	0	0	0	0	0	0	0
ENSG00000117419	2785	236	193	25	215	225	222	233	376
ENSG00000162384	4504	153	164	15	208	212	170	193	347
ENSG00000162391	2006	3	1	0	3	1	5	4	4
ENSG00000174348	4899	0	3	0	4	0	3	2	2
ENSG00000117859	10273	1632	1489	344	1862	1831	1581	1693	2819
ENSG00000228121	819	1	0	0	1	0	1	1	2
ENSG00000253313	1522	59	59	7	47	50	36	55	73
ENSG00000162396	2356	24	32	5	26	29	24	21	47
ENSG00000203995	4694	25	23	7	30	32	30	32	46
ENSG00000284686	2655	2	2	0	5	0	2	1	5
ENSG00000162378	8206	698	684	177	652	662	623	646	1077
ENSG00000233079	3391	0	0	0	0	0	0	0	0
ENSG00000259818	3591	0	0	0	0	0	0	0	0
ENSG00000229444	469	0	0	0	0	0	0	0	0
ENSG00000240563	3831	0	1	0	0	0	0	0	0
ENSG00000234318	447	0	0	0	0	0	0	0	0
ENSG00000284773	3163	4	6	1	4	6	2	5	5
ENSG00000234481	778	0	0	0	0	0	0	0	0
ENSG00000117862	2864	72	85	7	87	86	71	70	122
ENSG00000235612	731	0	0	0	0	0	0	0	0
ENSG00000228369	391	0	0	0	0	0	0	0	0
ENSG00000183431	3894	391	390	48	478	444	352	376	686
ENSG00000227485	359	0	0	0	0	0	0	0	0
ENSG00000224609	7581	0	2	1	2	0	3	0	3
ENSG00000235545	1228	6	9	1	2	3	3	1	1
ENSG00000236646	270	1	2	0	0	0	0	0	0
ENSG00000232198	607	0	0	0	0	0	0	0	0
ENSG00000238063	3673	0	0	0	0	0	0	0	0
ENSG00000227104	430	0	0	0	0	0	0	0	0
ENSG00000243725	3488	13	14	2	14	22	11	16	36
ENSG00000171872	3160	0	0	0	0	0	0	0	0
ENSG00000162407	5272	1129	1066	184	827	882	800	890	1363
ENSG00000285079	2316	0	0	0	0	0	0	0	0
ENSG00000169218	3058	0	0	0	0	0	0	0	0
ENSG00000163877	5718	284	303	56	256	268	193	234	466
ENSG00000228929	455	1	1	0	0	1	0	2	1
ENSG00000224570	1797	0	0	0	0	0	0	0	0
ENSG00000224980	433	0	0	0	0	0	0	0	0
ENSG00000278967	1819	70	71	14	42	38	50	33	56
ENSG00000157184	10089	1050	1021	186	1157	1179	1060	1119	1737
ENSG00000198815	6896	338	351	99	317	284	286	270	486
ENSG00000134744	16199	354	342	84	349	336	337	327	603
ENSG00000233910	721	0	0	0	0	0	0	0	0
ENSG00000287703	1426	0	0	0	0	0	0	0	0
ENSG00000283039	3159	0	0	0	0	0	0	0	0
ENSG00000229032	342	0	0	0	0	0	0	0	0
ENSG00000229294	512	0	0	0	0	0	0	0	0
ENSG00000232993	467	0	0	0	0	0	0	0	0
ENSG00000234088	405	0	0	0	0	0	0	0	0
ENSG00000236973	1000	0	0	0	0	0	0	0	0
ENSG00000277397	718	0	0	0	0	0	0	0	0
ENSG00000271200	427	0	0	0	1	1	1	0	0
ENSG00000235446	1017	0	0	0	0	0	0	0	0
ENSG00000261196	121	0	0	0	0	0	0	0	0
ENSG00000162385	1363	200	175	8	215	206	171	191	353
ENSG00000234264	1247	0	0	0	0	0	0	0	0
ENSG00000242391	380	0	0	0	0	0	0	0	1
ENSG00000223883	6152	0	0	1	0	2	0	0	1
ENSG00000284808	2442	0	0	0	0	0	0	0	0
ENSG00000237227	307	0	0	0	0	0	0	0	0
ENSG00000275350	585	0	0	0	0	0	0	0	0
ENSG00000116652	3555	0	1	0	0	0	2	0	2
ENSG00000123080	3018	6	2	1	11	5	5	8	9
ENSG00000285778	3776	0	0	0	0	0	0	0	0
ENSG00000233407	250	0	0	0	0	0	0	0	0
ENSG00000225675	567	0	0	0	0	0	0	0	0
ENSG00000237622	337	0	0	0	0	0	0	0	0
ENSG00000162598	4422	0	0	0	0	0	0	0	0
ENSG00000280317	301	0	0	0	0	0	0	0	0
ENSG00000162415	6095	5	5	2	7	6	9	10	8
ENSG00000162600	3718	152	121	19	157	150	121	119	220
ENSG00000116704	6193	1600	1642	335	1485	1355	1412	1365	2426
ENSG00000227644	280	0	0	0	0	0	0	0	0
ENSG00000157193	19668	9	21	5	32	21	13	9	27
ENSG00000116205	12168	29	26	5	43	43	29	38	79
ENSG00000198841	1708	50	43	8	43	35	37	34	61
ENSG00000116212	2164	299	322	54	336	320	253	314	467
ENSG00000234204	458	0	0	0	0	0	0	0	0
ENSG00000233099	377	0	0	0	0	0	0	0	0
ENSG00000233994	608	2	2	0	4	0	0	0	4
ENSG00000233973	5534	0	0	0	0	0	0	0	0
ENSG00000237552	448	0	0	0	0	0	0	0	0
ENSG00000132854	6814	3	2	0	3	2	1	6	6
ENSG00000227556	107	0	0	0	0	0	0	0	0
ENSG00000162607	3869	192	184	35	221	211	206	186	352
ENSG00000233602	619	0	1	0	0	1	1	0	1
ENSG00000233271	428	0	0	0	0	0	0	0	0
ENSG00000285954	886	0	0	0	0	0	0	0	0
ENSG00000233333	757	0	0	0	0	0	1	0	0
ENSG00000154027	6948	0	0	0	0	2	1	0	0
ENSG00000234108	331	0	0	0	0	0	0	0	0
ENSG00000232676	1124	1	5	0	3	1	3	1	1
ENSG00000225167	295	0	0	0	0	0	0	0	0
ENSG00000213579	457	0	0	0	0	0	0	0	0
ENSG00000137960	3904	169	139	26	157	183	153	171	271
ENSG00000237852	423	0	0	0	0	1	0	0	0
ENSG00000116745	2605	0	0	0	0	0	0	0	0
ENSG00000132855	3371	2571	2479	384	1708	1834	1965	1731	3124
ENSG00000285407	2810	1	0	0	2	0	0	0	1
ENSG00000272855	463	0	0	0	0	0	0	0	0
ENSG00000270549	238	0	0	0	0	0	0	0	0
ENSG00000237163	303	0	0	0	0	0	0	0	0
ENSG00000229636	1491	0	0	0	3	3	3	0	3
ENSG00000116675	6958	47	46	10	65	44	36	44	64
ENSG00000162433	7578	2110	1971	418	1820	1931	1964	2053	3095
ENSG00000213625	5237	1209	1149	191	1193	1244	1095	1125	1817
ENSG00000227207	358	0	1	0	0	0	0	1	0
ENSG00000227016	1382	0	0	0	0	0	0	0	0
ENSG00000233664	321	1	0	0	0	1	0	0	2
ENSG00000158966	7022	73	60	17	72	66	58	57	93
ENSG00000213703	546	2	1	0	1	1	2	3	2
ENSG00000203965	5704	9	18	2	15	20	14	13	35
ENSG00000223479	819	0	0	0	0	0	0	0	0
ENSG00000233674	271	1	0	0	0	0	0	1	0
ENSG00000153898	3442	1	1	0	2	1	1	0	1
ENSG00000117069	6059	0	0	0	0	0	0	0	0
ENSG00000125703	3116	57	69	7	52	67	63	55	93
ENSG00000285041	2636	0	0	0	0	0	0	0	0
ENSG00000285808	1065	0	0	0	0	0	0	0	0
ENSG00000229440	217	0	0	0	0	0	0	0	0
ENSG00000234144	226	0	0	0	0	0	0	0	0
ENSG00000213540	493	2	0	0	1	0	1	1	3
ENSG00000277670	263	0	0	0	0	0	0	0	0
ENSG00000227466	456	0	0	0	0	0	0	0	0
ENSG00000154007	1080	0	0	0	0	0	0	0	0
ENSG00000230498	2086	0	0	0	0	0	0	0	0
ENSG00000285782	761	0	0	0	0	0	0	0	0
ENSG00000162618	5798	18	10	2	4	8	8	8	4
ENSG00000224493	670	0	0	0	0	0	0	0	0
ENSG00000131233	2439	0	0	0	0	0	0	0	0
ENSG00000272371	456	0	0	0	0	0	0	0	0
ENSG00000287647	2059	0	0	0	0	0	0	0	0
ENSG00000229225	157	0	0	0	0	0	0	0	0
ENSG00000230863	2159	1	0	0	0	1	1	1	0
ENSG00000287224	1416	0	0	0	0	0	0	0	0
ENSG00000225598	580	0	0	0	0	0	1	0	0
ENSG00000286455	1126	0	0	0	0	0	0	0	0
ENSG00000225087	2896	0	0	0	0	0	0	0	0
ENSG00000280378	1755	1	1	0	1	1	0	0	0
ENSG00000188786	7989	112	118	47	95	126	98	104	203
ENSG00000230053	368	0	0	0	0	1	0	0	0
ENSG00000137941	10547	118	129	27	141	162	145	162	277
ENSG00000224326	349	0	0	0	0	0	0	0	0
ENSG00000286548	6245	1	0	1	3	0	1	0	0
ENSG00000066135	5184	387	382	67	330	352	341	287	584
ENSG00000230027	1312	0	0	0	0	0	0	0	0
ENSG00000233061	2921	3	0	0	0	1	0	3	2
ENSG00000272094	879	0	1	0	1	0	0	0	0
ENSG00000228853	534	0	0	0	0	0	0	0	0
ENSG00000215874	633	0	0	0	0	0	0	0	0
ENSG00000232453	2068	6	4	0	4	3	3	4	2
ENSG00000260386	3555	0	0	0	0	0	0	0	0
ENSG00000284895	81	0	0	0	0	0	0	0	0
ENSG00000117174	6203	94	73	9	83	106	69	81	129
ENSG00000237413	2481	5	5	3	6	9	7	3	10
ENSG00000184313	9088	0	0	0	0	0	0	0	1
ENSG00000284645	3304	0	0	0	0	0	0	0	0
ENSG00000225605	2097	0	0	0	1	0	0	0	0
ENSG00000225446	1842	0	0	0	0	0	0	0	1
ENSG00000288543	497	0	0	0	0	0	0	0	0
ENSG00000122420	5764	67	75	16	55	28	37	29	38
ENSG00000284240	4926	0	0	0	0	0	0	0	0
ENSG00000236290	703	0	0	0	0	0	0	0	0
ENSG00000143013	5421	122	162	26	155	161	151	162	284
ENSG00000226084	555	8	9	0	11	8	9	8	14
ENSG00000134748	5617	74	66	20	80	83	71	63	124
ENSG00000142892	5514	249	216	42	299	282	248	239	424
ENSG00000219102	1063	0	0	0	3	3	0	1	0
ENSG00000184005	7212	0	0	1	0	1	0	0	0
ENSG00000230953	175	1	0	0	1	0	0	0	3
ENSG00000287743	1672	0	0	0	0	0	0	0	0
ENSG00000229332	562	0	0	0	0	0	0	0	0
ENSG00000227937	382	0	0	0	0	0	0	0	0
ENSG00000229752	739	0	1	0	0	0	1	1	0
ENSG00000237505	16635	3	1	3	3	3	1	2	1
ENSG00000285462	1507	0	0	0	0	0	0	0	0
ENSG00000233216	322	0	0	0	0	0	0	0	0
ENSG00000197273	597	6	3	0	1	0	4	2	8
ENSG00000226804	1160	0	0	0	0	0	0	0	0
ENSG00000230728	623	0	0	0	0	0	0	0	0
ENSG00000232846	879	0	0	2	0	0	1	0	0
ENSG00000230787	1111	3	1	0	0	2	1	2	2
ENSG00000116641	24890	491	430	113	511	456	405	469	830
ENSG00000223920	715	0	0	0	0	0	0	0	0
ENSG00000237453	343	0	0	0	0	0	0	0	0
ENSG00000172260	13208	0	0	0	1	0	0	0	0
ENSG00000285473	716	0	0	0	0	0	0	0	0
ENSG00000237959	322	0	0	0	0	0	0	0	0
ENSG00000231364	1841	0	0	0	0	1	0	0	0
ENSG00000234578	470	0	0	0	0	0	0	0	0
ENSG00000117480	2724	478	424	97	426	408	386	396	691
ENSG00000137944	2196	266	243	32	308	261	242	253	459
ENSG00000229505	736	0	0	0	0	0	0	0	0
ENSG00000228187	571	0	0	0	0	0	0	0	2
ENSG00000285201	441	0	0	0	1	2	0	0	3
ENSG00000182183	2684	0	0	0	0	1	0	0	0
ENSG00000236407	619	0	0	0	0	0	0	0	0
ENSG00000271949	654	0	0	0	0	0	0	0	0
ENSG00000227062	418	0	0	0	0	0	0	0	0
ENSG00000067334	7518	922	854	120	887	954	712	799	1388
ENSG00000235011	355	0	0	0	0	0	0	0	0
ENSG00000235673	691	0	0	0	0	0	0	0	0
ENSG00000226938	383	0	0	0	0	0	0	0	0
ENSG00000213559	922	0	0	0	0	0	1	0	0
ENSG00000287587	1188	0	0	0	0	0	0	0	0
ENSG00000142949	10712	2961	2863	681	2530	2609	2506	2864	4983
ENSG00000116133	6214	11466	10924	2257	8192	8292	9124	10039	16439
ENSG00000232882	621	1	1	1	0	0	1	0	2
ENSG00000171502	9568	0	0	0	1	1	0	1	0
ENSG00000162399	9761	0	1	0	0	0	0	0	0
ENSG00000116157	1692	76	42	6	81	62	54	72	78
ENSG00000143036	2869	207	187	33	173	184	180	195	245
ENSG00000232672	1000	0	0	0	0	0	1	1	0
ENSG00000230817	2155	0	0	0	0	0	0	0	0
ENSG00000065243	6897	522	555	114	497	519	465	477	781
ENSG00000226759	4340	0	0	0	0	1	0	0	0
ENSG00000226960	589	0	0	0	0	0	0	0	0
ENSG00000234080	877	0	0	0	0	0	0	0	0
ENSG00000237899	471	1	0	0	0	0	1	1	0
ENSG00000223905	664	0	0	0	0	0	0	0	0
ENSG00000227290	920	0	0	0	0	0	0	0	0
ENSG00000229486	1401	0	0	0	0	0	0	0	0
ENSG00000282898	559	0	0	0	0	0	0	0	0
ENSG00000285409	597	0	0	0	0	0	0	0	0
ENSG00000231090	2568	0	0	0	0	0	0	1	0
ENSG00000117528	7655	1589	1404	256	1383	1365	1278	1296	2217
ENSG00000271723	7090	0	1	0	0	0	0	0	0
ENSG00000172339	9641	144	146	20	164	153	101	143	210
ENSG00000036549	9008	322	324	65	303	327	292	302	558
ENSG00000287724	831	8	6	4	4	3	10	13	18
ENSG00000058799	2036	305	284	40	396	385	274	369	561
