GeneID_mouse	GeneSymbol_mouse	GeneID_macaque	GeneSymbol_macaque
ENSMUSG00000053768	Chchd3	ENSMFAG00000035034	
ENSMUSG00000021461	Fancc	ENSMFAG00000034968	FANCC
ENSMUSG00000048720	Tbc1d12	ENSMFAG00000034776	TBC1D12
ENSMUSG00000021000	Mia2	ENSMFAG00000034889	
ENSMUSG00000054823	Nsd3	ENSMFAG00000034989	NSD3
ENSMUSG00000028059	Arhgef2	ENSMFAG00000034906	ARHGEF2
ENSMUSG00000028367	Txn1	ENSMFAG00000034748	
ENSMUSG00000020088	Sar1a	ENSMFAG00000040479	
ENSMUSG00000025255	Zfhx4	ENSMFAG00000034757	ZFHX4
ENSMUSG00000000787	Ddx3x	ENSMFAG00000034876	DDX3X
ENSMUSG00000021306	Gpr137b	ENSMFAG00000034812	GPR137B
ENSMUSG00000022610	Mapk12	ENSMFAG00000034798	MAPK12
ENSMUSG00000010751	Tnfrsf22	ENSMFAG00000042734	
ENSMUSG00000075419	Dolk	ENSMFAG00000042699	
ENSMUSG00000003623	Crot	ENSMFAG00000036023	CROT
ENSMUSG00000064326	Siva1	ENSMFAG00000036228	SIVA1
ENSMUSG00000071866	Ppia	ENSMFAG00000040449	
ENSMUSG00000036180	Gatad2a	ENSMFAG00000033816	
ENSMUSG00000038497	Tmco3	ENSMFAG00000040684	TMCO3
ENSMUSG00000000751	Rpa1	ENSMFAG00000040422	
ENSMUSG00000028378	Ptgr1	ENSMFAG00000036279	PTGR1
ENSMUSG00000060131	Atp8b4	ENSMFAG00000034721	ATP8B4
ENSMUSG00000051166	Eml5	ENSMFAG00000034011	EML5
ENSMUSG00000041084	Ostc	ENSMFAG00000033530	
ENSMUSG00000056268	Dennd1b	ENSMFAG00000040708	DENND1B
ENSMUSG00000079037	Prnp	ENSMFAG00000033814	
ENSMUSG00000048218	Amigo2	ENSMFAG00000036236	AMIGO2
ENSMUSG00000019813	Cep57l1	ENSMFAG00000038962	CEP57L1
ENSMUSG00000009905	Kdsr	ENSMFAG00000042704	KDSR
ENSMUSG00000041846	Ppp4r3a	ENSMFAG00000037442	PPP4R3A
ENSMUSG00000074811	Hps6	ENSMFAG00000040457	HPS6
ENSMUSG00000005220	Corin	ENSMFAG00000036209	CORIN
ENSMUSG00000040105	Plpp6	ENSMFAG00000038925	PLPP6
ENSMUSG00000051351	Zfp46	ENSMFAG00000040454	ZNF436
ENSMUSG00000024737	Slc15a3	ENSMFAG00000038208	SLC15A3
ENSMUSG00000041734	Kirrel	ENSMFAG00000034013	KIRREL1
ENSMUSG00000032363	Adamts7	ENSMFAG00000042737	ADAMTS7
ENSMUSG00000068264	Ap5s1	ENSMFAG00000042735	AP5S1
ENSMUSG00000048758	Rpl29	ENSMFAG00000033540	
ENSMUSG00000026986	Hnmt	ENSMFAG00000040453	
ENSMUSG00000078607	1810010H24Rik	ENSMFAG00000033777	C17orf58
ENSMUSG00000018882	Mrpl45	ENSMFAG00000038944	
ENSMUSG00000067924	Rtl8b	ENSMFAG00000038917	
ENSMUSG00000078923	Ube2v1	ENSMFAG00000040898	
ENSMUSG00000078240	Gm3550	ENSMFAG00000033540	
ENSMUSG00000021900	Btd	ENSMFAG00000033539	BTD
ENSMUSG00000045140	Pigw	ENSMFAG00000036468	PIGW
ENSMUSG00000025200	Cwf19l1	ENSMFAG00000040442	
ENSMUSG00000067925	Rtl8a	ENSMFAG00000038917	
ENSMUSG00000020075	Ddx21	ENSMFAG00000033536	
ENSMUSG00000028053	Ash1l	ENSMFAG00000004660	ASH1L
ENSMUSG00000057497	Fam136a	ENSMFAG00000004501	
ENSMUSG00000025217	Btrc	ENSMFAG00000005295	
ENSMUSG00000025246	Tbl1x	ENSMFAG00000005183	
ENSMUSG00000031750	Il34	ENSMFAG00000004902	IL34
ENSMUSG00000084667	Gm23212	ENSMFAG00000004705	
ENSMUSG00000090394	4930523C07Rik	ENSMFAG00000004594	KIAA0040
ENSMUSG00000031429	Psmd10	ENSMFAG00000005137	
ENSMUSG00000022048	Dpysl2	ENSMFAG00000005287	DPYSL2
ENSMUSG00000036941	Elac1	ENSMFAG00000004789	ELAC1
ENSMUSG00000076387	Mir671	ENSMFAG00000004198	MIR671
ENSMUSG00000024537	Psmg2	ENSMFAG00000004539	
ENSMUSG00000021963	Sap18	ENSMFAG00000004917	
ENSMUSG00000062647	Rpl7a	ENSMFAG00000004864	
ENSMUSG00000037692	Ahdc1	ENSMFAG00000004617	AHDC1
ENSMUSG00000045594	Glb1	ENSMFAG00000005291	
ENSMUSG00000040146	Rgl3	ENSMFAG00000004966	RGL3
ENSMUSG00000038717	Atp5l	ENSMFAG00000004430	
ENSMUSG00000025574	Tk1	ENSMFAG00000005352	TK1
ENSMUSG00000040734	Ppp1r13l	ENSMFAG00000004692	PPP1R13L
ENSMUSG00000048581	E130311K13Rik	ENSMFAG00000004239	C3orf33
ENSMUSG00000061104	Sap18b	ENSMFAG00000004917	
ENSMUSG00000046380	Jrk	ENSMFAG00000004225	JRK
ENSMUSG00000050240	Hic2	ENSMFAG00000004992	HIC2
ENSMUSG00000040472	Rabggta	ENSMFAG00000004938	RABGGTA
ENSMUSG00000064791	Snord14e	ENSMFAG00000005196	
ENSMUSG00000022305	Lrp12	ENSMFAG00000004646	LRP12
ENSMUSG00000046679	C87436	ENSMFAG00000005246	C2orf42
ENSMUSG00000032381	Ciao2a	ENSMFAG00000005126	
ENSMUSG00000020605	Hs1bp3	ENSMFAG00000005189	HS1BP3
ENSMUSG00000079659	Tmem243	ENSMFAG00000004736	TMEM243
ENSMUSG00000059326	Csf2ra	ENSMFAG00000004652	
ENSMUSG00000032177	Pde4a	ENSMFAG00000004722	PDE4A
ENSMUSG00000022505	Emp2	ENSMFAG00000004586	EMP2
ENSMUSG00000042271	Nxt2	ENSMFAG00000004105	NXT2
ENSMUSG00000073421	H2-Ab1	ENSMFAG00000005338	
ENSMUSG00000063689	Hist2h2ab	ENSMFAG00000005184	HIST2H2AB
ENSMUSG00000089945	Pakap	ENSMFAG00000004557	PALM2-AKAP2
ENSMUSG00000038861	Pi4kb	ENSMFAG00000004350	PI4KB
ENSMUSG00000023959	Clic5	ENSMFAG00000005042	CLIC5
ENSMUSG00000026610	Esrrg	ENSMFAG00000004706	ESRRG
ENSMUSG00000068855	Hist2h2ac	ENSMFAG00000005216	HIST2H2AC
ENSMUSG00000024400	Wdr33	ENSMFAG00000005367	WDR33
ENSMUSG00000021038	Vipas39	ENSMFAG00000004659	VIPAS39
ENSMUSG00000029380	Cxcl1	ENSMFAG00000005127	
ENSMUSG00000028779	Pef1	ENSMFAG00000004854	
ENSMUSG00000067586	S1pr3	ENSMFAG00000004814	S1PR3
ENSMUSG00000023043	Krt18	ENSMFAG00000004761	
ENSMUSG00000022257	Laptm4b	ENSMFAG00000033493	
ENSMUSG00000051705	Senp8	ENSMFAG00000004993	SENP8
ENSMUSG00000024304	Cdh2	ENSMFAG00000004661	CDH2
ENSMUSG00000053113	Socs3	ENSMFAG00000004354	SOCS3
ENSMUSG00000027822	Slc33a1	ENSMFAG00000004849	
ENSMUSG00000114456	Hist1h2bh	ENSMFAG00000004658	HIST1H2BM
ENSMUSG00000026405	C4bp	ENSMFAG00000004655	C4BPA
ENSMUSG00000005469	Prkaca	ENSMFAG00000004590	PRKACA
ENSMUSG00000020982	Nemf	ENSMFAG00000005357	NEMF
ENSMUSG00000022105	Rb1	ENSMFAG00000004544	RB1
ENSMUSG00000007610	Gtpbp3	ENSMFAG00000004345	GTPBP3
ENSMUSG00000022312	Eif3h	ENSMFAG00000004699	EIF3H
ENSMUSG00000028126	Pip5k1a	ENSMFAG00000004381	
ENSMUSG00000040564	Apoc1	ENSMFAG00000038912	
ENSMUSG00000038729	Pakap	ENSMFAG00000004557	PALM2-AKAP2
ENSMUSG00000061315	Naca	ENSMFAG00000004178	
ENSMUSG00000079614	Seh1l	ENSMFAG00000005165	SEH1L
ENSMUSG00000061306	Slc38a10	ENSMFAG00000040675	SLC38A10
ENSMUSG00000006050	Sra1	ENSMFAG00000007347	SRA1
ENSMUSG00000004359	Spic	ENSMFAG00000007308	
ENSMUSG00000046947	Adck2	ENSMFAG00000007386	ADCK2
ENSMUSG00000052407	Ccdc171	ENSMFAG00000007272	CCDC171
ENSMUSG00000073982	Rhog	ENSMFAG00000006033	
ENSMUSG00000028878	Fam76a	ENSMFAG00000006722	FAM76A
ENSMUSG00000022956	Atp5o	ENSMFAG00000008316	
ENSMUSG00000032582	Rbm6	ENSMFAG00000008096	
ENSMUSG00000020070	Rufy2	ENSMFAG00000008200	RUFY2
ENSMUSG00000025196	Cpn1	ENSMFAG00000007369	CPN1
ENSMUSG00000107071	Gm42420	ENSMFAG00000007386	ADCK2
ENSMUSG00000076498	Trbc2	ENSMFAG00000008179	
ENSMUSG00000039782	Cpeb2	ENSMFAG00000006541	CPEB2
ENSMUSG00000030086	Chchd6	ENSMFAG00000006791	CHCHD6
ENSMUSG00000039016	Timm8b	ENSMFAG00000007405	
ENSMUSG00000029614	Rpl6	ENSMFAG00000007818	
ENSMUSG00000089736	Tgfbr3l	ENSMFAG00000007257	TGFBR3L
ENSMUSG00000025492	Ifitm3	ENSMFAG00000007625	
ENSMUSG00000041084	Ostc	ENSMFAG00000007430	
ENSMUSG00000006930	Hap1	ENSMFAG00000006931	HAP1
ENSMUSG00000032796	Lama1	ENSMFAG00000007292	LAMA1
ENSMUSG00000022092	Ppp3cc	ENSMFAG00000007036	PPP3CC
ENSMUSG00000114923	Gm49345	ENSMFAG00000007502	ZNF682
ENSMUSG00000062270	Morf4l1	ENSMFAG00000007410	MORF4L1
ENSMUSG00000019984	Med23	ENSMFAG00000008281	MED23
ENSMUSG00000053012	Krcc1	ENSMFAG00000007883	KRCC1
ENSMUSG00000032307	Ube2q2	ENSMFAG00000006846	UBE2Q2
ENSMUSG00000025885	Myo5b	ENSMFAG00000007943	
ENSMUSG00000066149	Cdc26	ENSMFAG00000007504	CDC26
ENSMUSG00000027630	Tbl1xr1	ENSMFAG00000007211	TBL1XR1
ENSMUSG00000011884	Gltp	ENSMFAG00000007238	GLTP
ENSMUSG00000043013	Onecut1	ENSMFAG00000005880	ONECUT1
ENSMUSG00000099112	Gm27406	ENSMFAG00000006766	
ENSMUSG00000106918	Mrpl33	ENSMFAG00000005696	
ENSMUSG00000043398	Gpr135	ENSMFAG00000005447	GPR135
ENSMUSG00000031684	Slc10a7	ENSMFAG00000005395	SLC10A7
ENSMUSG00000020460	Rps27a	ENSMFAG00000008239	
ENSMUSG00000023043	Krt18	ENSMFAG00000005730	
ENSMUSG00000079110	Capn3	ENSMFAG00000008163	
ENSMUSG00000023074	Mospd1	ENSMFAG00000007213	
ENSMUSG00000053886	Sh2d4a	ENSMFAG00000007156	SH2D4A
ENSMUSG00000042208	0610010F05Rik	ENSMFAG00000007392	KIAA1841
ENSMUSG00000051285	Pcmtd1	ENSMFAG00000005557	PCMTD1
ENSMUSG00000066687	Zbtb16	ENSMFAG00000008415	ZBTB16
ENSMUSG00000030879	Mrpl17	ENSMFAG00000005488	MRPL17
ENSMUSG00000004127	Trmt10a	ENSMFAG00000006620	TRMT10A
ENSMUSG00000028937	Acot7	ENSMFAG00000006175	
ENSMUSG00000056313	Tcim	ENSMFAG00000007134	TCIM
ENSMUSG00000037216	Lipt1	ENSMFAG00000008385	LIPT1
ENSMUSG00000066878	Gm10184	ENSMFAG00000007530	
ENSMUSG00000027166	Dnajc24	ENSMFAG00000007220	DNAJC24
ENSMUSG00000033099	Nol12	ENSMFAG00000006832	
ENSMUSG00000047649	Cd3eap	ENSMFAG00000006908	CD3EAP
ENSMUSG00000005198	Polr2a	ENSMFAG00000007042	
ENSMUSG00000037706	Cd81	ENSMFAG00000007233	CD81
ENSMUSG00000027455	Nsfl1c	ENSMFAG00000007266	
ENSMUSG00000061787	Rps17	ENSMFAG00000008147	
ENSMUSG00000091228	Gm20390	ENSMFAG00000007607	NME1-NME2
ENSMUSG00000027835	Pdcd10	ENSMFAG00000007500	
ENSMUSG00000035242	Oaz1	ENSMFAG00000006874	
ENSMUSG00000039934	Gsap	ENSMFAG00000007311	GSAP
ENSMUSG00000029655	N4bp2l2	ENSMFAG00000007968	N4BP2L2
ENSMUSG00000022817	Itgb5	ENSMFAG00000008012	ITGB5
ENSMUSG00000039483	Asb6	ENSMFAG00000007597	ASB6
ENSMUSG00000018362	Kpna2	ENSMFAG00000007530	
ENSMUSG00000034544	Rsrc1	ENSMFAG00000006023	RSRC1
ENSMUSG00000028553	Angptl3	ENSMFAG00000007083	ANGPTL3
ENSMUSG00000059325	Hopx	ENSMFAG00000006576	HOPX
ENSMUSG00000026484	Rnf2	ENSMFAG00000007609	
ENSMUSG00000052837	Junb	ENSMFAG00000007511	JUNB
ENSMUSG00000032239	Rp9	ENSMFAG00000007085	
ENSMUSG00000002550	Uck1	ENSMFAG00000005947	UCK1
ENSMUSG00000025793	Hgs	ENSMFAG00000008510	HGS
ENSMUSG00000024430	Cabyr	ENSMFAG00000007440	
ENSMUSG00000027556	Car1	ENSMFAG00000005965	CA1
ENSMUSG00000008348	Ubc	ENSMFAG00000007367	UBC
ENSMUSG00000091721	Gimd1	ENSMFAG00000007005	GIMD1
ENSMUSG00000048537	Phldb1	ENSMFAG00000007641	PHLDB1
ENSMUSG00000044641	Pard6b	ENSMFAG00000007135	PARD6B
ENSMUSG00000021716	Srek1ip1	ENSMFAG00000008308	SREK1IP1
ENSMUSG00000025060	Slk	ENSMFAG00000007328	SLK
ENSMUSG00000073755	5730409E04Rik	ENSMFAG00000005466	C1orf216
ENSMUSG00000031631	Cfap97	ENSMFAG00000007379	CFAP97
ENSMUSG00000032264	Zw10	ENSMFAG00000005588	ZW10
ENSMUSG00000046791	Riox1	ENSMFAG00000005599	RIOX1
ENSMUSG00000022427	Tomm22	ENSMFAG00000006980	
ENSMUSG00000046805	Mpeg1	ENSMFAG00000007829	MPEG1
ENSMUSG00000061079	Zfp143	ENSMFAG00000008022	ZNF143
ENSMUSG00000033739	Fkbpl	ENSMFAG00000006509	
ENSMUSG00000024181	Mrpl28	ENSMFAG00000006698	MRPL28
ENSMUSG00000031796	Cfap20	ENSMFAG00000007227	CFAP20
ENSMUSG00000023052	Npff	ENSMFAG00000007389	NPFF
ENSMUSG00000028800	Hdac1	ENSMFAG00000005442	
ENSMUSG00000079480	Pin4	ENSMFAG00000006526	
ENSMUSG00000046897	Zfp740	ENSMFAG00000007377	ZNF740
ENSMUSG00000058152	Chsy3	ENSMFAG00000006334	CHSY3
ENSMUSG00000001794	Capns1	ENSMFAG00000007624	
ENSMUSG00000022789	Dnm1l	ENSMFAG00000006058	
ENSMUSG00000016252	Atp5e	ENSMFAG00000007184	ATP5F1E
ENSMUSG00000028134	Ptbp2	ENSMFAG00000008183	PTBP2
ENSMUSG00000057329	Bcl2	ENSMFAG00000007343	BCL2
ENSMUSG00000029616	Erp29	ENSMFAG00000007433	ERP29
ENSMUSG00000031349	Nsdhl	ENSMFAG00000008105	NSDHL
ENSMUSG00000016494	Cd34	ENSMFAG00000006003	CD34
ENSMUSG00000047446	Arl4a	ENSMFAG00000008326	ARL4A
ENSMUSG00000027479	Mapre1	ENSMFAG00000007474	
ENSMUSG00000057842	Zfp595	ENSMFAG00000007502	ZNF682
ENSMUSG00000029587	Zfp12	ENSMFAG00000006390	ZNF12
ENSMUSG00000027397	Slc20a1	ENSMFAG00000006822	SLC20A1
ENSMUSG00000068854	Hist2h2be	ENSMFAG00000008304	HIST1H2BJ
ENSMUSG00000027765	P2ry1	ENSMFAG00000005982	P2RY1
ENSMUSG00000073639	Rab18	ENSMFAG00000006430	
ENSMUSG00000070427	Il18bp	ENSMFAG00000007235	IL18BP
ENSMUSG00000037211	Spry1	ENSMFAG00000006273	SPRY1
ENSMUSG00000074170	Plekhf1	ENSMFAG00000007358	PLEKHF1
ENSMUSG00000046324	Ermp1	ENSMFAG00000008006	ERMP1
ENSMUSG00000073421	H2-Ab1	ENSMFAG00000006890	HLA-DQB1
ENSMUSG00000039114	Nrn1	ENSMFAG00000007750	
ENSMUSG00000060591	Ifitm2	ENSMFAG00000007625	
ENSMUSG00000025068	Gsto1	ENSMFAG00000005562	
ENSMUSG00000046731	Kctd11	ENSMFAG00000006771	KCTD11
ENSMUSG00000021243	Fcf1	ENSMFAG00000007477	
ENSMUSG00000060548	Tnfrsf19	ENSMFAG00000008116	TNFRSF19
ENSMUSG00000026202	Tuba4a	ENSMFAG00000007541	TUBA4A
ENSMUSG00000035762	Tmem161b	ENSMFAG00000005470	
ENSMUSG00000040669	Phc1	ENSMFAG00000007626	PHC1
ENSMUSG00000026812	Tsc1	ENSMFAG00000007299	TSC1
ENSMUSG00000063760	Rnf217	ENSMFAG00000007187	RNF217
ENSMUSG00000052085	Dock8	ENSMFAG00000008069	DOCK8
ENSMUSG00000041548	Hspb8	ENSMFAG00000007246	HSPB8
ENSMUSG00000052146	Rps10	ENSMFAG00000008386	
ENSMUSG00000066568	Lsm14a	ENSMFAG00000006057	LSM14A
ENSMUSG00000028199	Cryz	ENSMFAG00000007521	CRYZ
ENSMUSG00000021501	Caml	ENSMFAG00000005789	
ENSMUSG00000039735	Fnbp1l	ENSMFAG00000007905	FNBP1L
ENSMUSG00000058446	Znrf2	ENSMFAG00000007926	ZNRF2
ENSMUSG00000022019	Tdrd3	ENSMFAG00000007606	TDRD3
ENSMUSG00000036894	Rap2b	ENSMFAG00000006078	RAP2B
ENSMUSG00000020691	Mettl2	ENSMFAG00000007048	
ENSMUSG00000021112	Mpp5	ENSMFAG00000007215	MPP5
ENSMUSG00000025491	Ifitm1	ENSMFAG00000007625	
ENSMUSG00000021069	Pygl	ENSMFAG00000006403	PYGL
ENSMUSG00000039431	Mtmr7	ENSMFAG00000006049	MTMR7
ENSMUSG00000031980	Agt	ENSMFAG00000008235	
ENSMUSG00000044359	P2ry4	ENSMFAG00000006847	P2RY4
ENSMUSG00000091537	Tma7	ENSMFAG00000006665	
ENSMUSG00000048280	Zfp738	ENSMFAG00000007502	ZNF682
ENSMUSG00000028614	Ndc1	ENSMFAG00000006996	NDC1
ENSMUSG00000040283	Btnl9	ENSMFAG00000008203	BTNL9
ENSMUSG00000098905	Zfp953	ENSMFAG00000007502	ZNF682
ENSMUSG00000027933	Ints3	ENSMFAG00000008338	INTS3
ENSMUSG00000065529	Mir22	ENSMFAG00000008488	MIR22
ENSMUSG00000091387	Gcnt4	ENSMFAG00000005546	GCNT4
ENSMUSG00000035649	Zcchc7	ENSMFAG00000006899	ZCCHC7
ENSMUSG00000072770	Acrbp	ENSMFAG00000005997	
ENSMUSG00000036151	Tm6sf2	ENSMFAG00000006917	TM6SF2
ENSMUSG00000031697	Orc6	ENSMFAG00000005502	ORC6
ENSMUSG00000091867	Cyp2a22	ENSMFAG00000014644	
ENSMUSG00000014444	Piezo1	ENSMFAG00000015002	PIEZO1
ENSMUSG00000020265	Sumo3	ENSMFAG00000009821	
ENSMUSG00000052419	2610001J05Rik	ENSMFAG00000009056	SMIM30
ENSMUSG00000038425	Poli	ENSMFAG00000011788	POLI
ENSMUSG00000059070	Rpl18	ENSMFAG00000008578	
ENSMUSG00000013593	Ndufs2	ENSMFAG00000008768	
ENSMUSG00000075272	Ttc30a2	ENSMFAG00000013968	TTC30B
ENSMUSG00000028133	Rwdd3	ENSMFAG00000013715	RWDD3
ENSMUSG00000032782	Cntrob	ENSMFAG00000009931	CNTROB
ENSMUSG00000038412	Higd1a	ENSMFAG00000009384	
ENSMUSG00000061474	Mrps36	ENSMFAG00000011735	
ENSMUSG00000034780	B3galt1	ENSMFAG00000008871	B3GALT1
ENSMUSG00000046711	Hmga1	ENSMFAG00000011729	
ENSMUSG00000034610	Tut4	ENSMFAG00000011842	TUT4
ENSMUSG00000021615	Xrcc4	ENSMFAG00000013259	
ENSMUSG00000045257	Morn2	ENSMFAG00000010260	MORN2
ENSMUSG00000027422	Rrbp1	ENSMFAG00000008658	RRBP1
ENSMUSG00000113902	Ndufb1-ps	ENSMFAG00000012602	
ENSMUSG00000117338	Gm49804	ENSMFAG00000008570	
ENSMUSG00000070493	Chchd2	ENSMFAG00000012886	
ENSMUSG00000044340	Phlpp1	ENSMFAG00000010807	PHLPP1
ENSMUSG00000013707	Tnfaip8l2	ENSMFAG00000011365	TNFAIP8L2
ENSMUSG00000019302	Atp6v0a1	ENSMFAG00000009940	ATP6V0A1
ENSMUSG00000062901	Klhl24	ENSMFAG00000012612	KLHL24
ENSMUSG00000046994	Mars2	ENSMFAG00000012275	MARS2
ENSMUSG00000031360	Ctps2	ENSMFAG00000009688	CTPS2
ENSMUSG00000056121	Fez2	ENSMFAG00000014609	FEZ2
ENSMUSG00000031853	Map3k21	ENSMFAG00000014791	MAP3K21
ENSMUSG00000065037	Rn7sk	ENSMFAG00000008554	
ENSMUSG00000022964	Tmem50b	ENSMFAG00000014271	
ENSMUSG00000049932	H2afx	ENSMFAG00000009238	H2AFX
ENSMUSG00000054474	Thnsl2	ENSMFAG00000012127	THNSL2
ENSMUSG00000034278	Dnajc17	ENSMFAG00000010836	
ENSMUSG00000059323	Tonsl	ENSMFAG00000011677	TONSL
ENSMUSG00000060377	Rpl36a-ps1	ENSMFAG00000014388	
ENSMUSG00000044231	Nhlrc1	ENSMFAG00000010699	NHLRC1
ENSMUSG00000003131	Pafah1b2	ENSMFAG00000014603	PAFAH1B2
ENSMUSG00000025491	Ifitm1	ENSMFAG00000011493	
ENSMUSG00000024742	Fen1	ENSMFAG00000009480	
ENSMUSG00000044617	Zbtb39	ENSMFAG00000012946	ZBTB39
ENSMUSG00000086784	Isoc2a	ENSMFAG00000009165	ISOC2
ENSMUSG00000024235	Map3k8	ENSMFAG00000008879	
ENSMUSG00000034006	Pqlc1	ENSMFAG00000013643	SLC66A2
ENSMUSG00000073676	Hspe1	ENSMFAG00000008799	
ENSMUSG00000021577	Sdha	ENSMFAG00000010720	
ENSMUSG00000022370	Mrpl13	ENSMFAG00000009755	
ENSMUSG00000044534	Ackr2	ENSMFAG00000012586	ACKR2
ENSMUSG00000033126	Ybey	ENSMFAG00000014564	YBEY
ENSMUSG00000048174	Tmem81	ENSMFAG00000012589	TMEM81
ENSMUSG00000056749	Nfil3	ENSMFAG00000009757	NFIL3
ENSMUSG00000038022	Mindy4	ENSMFAG00000013399	MINDY4
ENSMUSG00000073002	Vamp5	ENSMFAG00000009769	VAMP5
ENSMUSG00000024592	C330018D20Rik	ENSMFAG00000009790	C5orf63
ENSMUSG00000074254	Cyp2a4	ENSMFAG00000014644	
ENSMUSG00000066798	Zbtb6	ENSMFAG00000009223	ZBTB6
ENSMUSG00000033009	Ogfod1	ENSMFAG00000013084	OGFOD1
ENSMUSG00000050188	Lsm10	ENSMFAG00000009115	LSM10
ENSMUSG00000022763	Aifm3	ENSMFAG00000009725	AIFM3
ENSMUSG00000022300	Dcaf13	ENSMFAG00000008982	
ENSMUSG00000021000	Mia2	ENSMFAG00000009700	
ENSMUSG00000117621	Hspe1-rs1	ENSMFAG00000008799	
ENSMUSG00000031825	Crispld2	ENSMFAG00000012467	CRISPLD2
ENSMUSG00000012405	Rpl15	ENSMFAG00000012041	
ENSMUSG00000027438	Napb	ENSMFAG00000012865	
ENSMUSG00000032340	Neo1	ENSMFAG00000014361	NEO1
ENSMUSG00000002308	Cd320	ENSMFAG00000013824	CD320
ENSMUSG00000019951	Uhrf1bp1l	ENSMFAG00000010028	UHRF1BP1L
ENSMUSG00000063281	Zfp35	ENSMFAG00000009063	
ENSMUSG00000098462	Gm27694	ENSMFAG00000008793	
ENSMUSG00000037536	Fbxo34	ENSMFAG00000009535	FBXO34
ENSMUSG00000049321	Zfp2	ENSMFAG00000014508	ZFP2
ENSMUSG00000031782	Coq9	ENSMFAG00000014434	
ENSMUSG00000023043	Krt18	ENSMFAG00000015166	
ENSMUSG00000027995	Tlr2	ENSMFAG00000012822	
ENSMUSG00000038462	Uqcrfs1	ENSMFAG00000010688	
ENSMUSG00000026463	Atp2b4	ENSMFAG00000010073	ATP2B4
ENSMUSG00000005547	Cyp2a5	ENSMFAG00000014644	
ENSMUSG00000028719	Cmpk1	ENSMFAG00000010713	
ENSMUSG00000026991	Pkp4	ENSMFAG00000008546	PKP4
ENSMUSG00000081665	Gm15922	ENSMFAG00000013367	LILRB4
ENSMUSG00000042272	Sestd1	ENSMFAG00000013388	SESTD1
ENSMUSG00000036533	Cdc42ep3	ENSMFAG00000014850	
ENSMUSG00000021645	Smn1	ENSMFAG00000008812	
ENSMUSG00000028073	Pear1	ENSMFAG00000013682	PEAR1
ENSMUSG00000076441	Ass1	ENSMFAG00000009174	
ENSMUSG00000020261	Slc36a1	ENSMFAG00000010715	
ENSMUSG00000028243	Ubxn2b	ENSMFAG00000014095	UBXN2B
ENSMUSG00000036114	Rpp25l	ENSMFAG00000014400	
ENSMUSG00000016319	Slc25a5	ENSMFAG00000013335	
ENSMUSG00000066235	Pomgnt2	ENSMFAG00000014340	POMGNT2
ENSMUSG00000074417	Gm14548	ENSMFAG00000013367	LILRB4
ENSMUSG00000029402	Snrnp35	ENSMFAG00000008986	SNRNP35
ENSMUSG00000027465	Tbc1d20	ENSMFAG00000012722	TBC1D20
ENSMUSG00000044393	Dsg2	ENSMFAG00000014923	DSG2
ENSMUSG00000027130	Slc12a6	ENSMFAG00000014792	SLC12A6
ENSMUSG00000031917	Nip7	ENSMFAG00000013965	
ENSMUSG00000078249	Hmga1b	ENSMFAG00000011729	
ENSMUSG00000023169	Slc38a1	ENSMFAG00000009753	SLC38A1
